hold_id,student_id,hold_type,hold_created_date,hold_removed_date,status,days_to_resolve
8087,1147,Financial,2023-10-27,,Active,
8088,1147,Financial,2023-10-12,2023-10-31,Resolved,19.0
8089,1148,Financial,2023-09-07,2023-09-25,Resolved,18.0
8090,1149,Immunization,2023-10-11,2023-10-19,Resolved,8.0
8091,1149,Immunization,2023-10-30,2023-11-21,Resolved,22.0
8092,1152,Financial,2023-09-24,2023-09-25,Resolved,1.0
8093,1152,Academic Advising,2023-09-22,,Active,
8094,1156,Transcript,2023-09-28,2023-10-18,Resolved,20.0
8095,1156,Disciplinary,2023-09-18,,Active,
8096,1157,Financial,2023-09-10,2023-09-19,Resolved,9.0
8097,1157,Financial,2023-09-13,2023-09-28,Resolved,15.0
8098,1158,Academic Advising,2023-10-15,2023-10-20,Resolved,5.0
8099,1158,Academic Advising,2023-09-26,2023-10-03,Resolved,7.0
8100,1160,Immunization,2023-10-16,2023-11-02,Resolved,17.0
8101,1161,Transcript,2023-10-13,2023-11-04,Resolved,22.0
8102,1161,Disciplinary,2023-09-12,2023-10-11,Resolved,29.0
8103,1163,Financial,2023-09-29,,Active,
8104,1164,Financial,2023-10-10,2023-11-03,Resolved,24.0
8105,1168,Disciplinary,2023-10-14,2023-11-12,Resolved,29.0
8106,1173,Academic Advising,2023-09-24,,Active,
8107,1175,Transcript,2023-10-10,2023-10-24,Resolved,14.0
8108,1175,Immunization,2023-09-04,2023-09-13,Resolved,9.0
8109,1181,Financial,2023-09-26,2023-10-09,Resolved,13.0
8110,1182,Academic Advising,2023-10-24,2023-10-25,Resolved,1.0
8111,1183,Disciplinary,2023-09-09,2023-10-03,Resolved,24.0
8112,1183,Disciplinary,2023-10-19,,Active,
8113,1184,Financial,2023-09-09,2023-09-16,Resolved,7.0
8114,1184,Transcript,2023-10-25,2023-11-04,Resolved,10.0
8115,1186,Immunization,2023-10-28,2023-11-02,Resolved,5.0
8116,1189,Academic Advising,2023-09-09,,Active,
8117,1190,Academic Advising,2023-10-29,2023-11-10,Resolved,12.0
8118,1190,Academic Advising,2023-10-17,2023-11-11,Resolved,25.0
8119,1192,Academic Advising,2023-09-07,2023-10-05,Resolved,28.0
8120,1193,Immunization,2023-09-29,2023-10-21,Resolved,22.0
8121,1194,Disciplinary,2023-09-13,2023-09-16,Resolved,3.0
8122,1194,Immunization,2023-10-05,2023-10-20,Resolved,15.0
8123,1197,Disciplinary,2023-09-06,2023-10-01,Resolved,25.0
8124,1197,Immunization,2023-10-30,2023-11-02,Resolved,3.0
8125,1199,Immunization,2023-10-08,2023-11-04,Resolved,27.0
8126,1199,Disciplinary,2023-09-14,2023-10-01,Resolved,17.0
8127,1201,Disciplinary,2023-09-24,2023-09-28,Resolved,4.0
8128,1206,Disciplinary,2023-10-02,2023-10-08,Resolved,6.0
8129,1208,Transcript,2023-09-20,2023-10-16,Resolved,26.0
8130,1208,Disciplinary,2023-10-15,2023-11-07,Resolved,23.0
8131,1212,Transcript,2023-10-25,,Active,
8132,1212,Disciplinary,2023-09-10,2023-09-17,Resolved,7.0
8133,1213,Transcript,2023-09-25,2023-09-27,Resolved,2.0
8134,1214,Academic Advising,2023-10-10,2023-10-29,Resolved,19.0
8135,1214,Disciplinary,2023-09-08,,Active,
8136,1215,Disciplinary,2023-09-09,2023-09-16,Resolved,7.0
8137,1215,Transcript,2023-10-22,2023-11-10,Resolved,19.0
8138,1216,Academic Advising,2023-10-08,,Active,
8139,1217,Academic Advising,2023-09-25,2023-10-22,Resolved,27.0
8140,1217,Immunization,2023-09-04,2023-09-23,Resolved,19.0
8141,1218,Financial,2023-09-14,2023-09-24,Resolved,10.0
8142,1219,Financial,2023-10-23,2023-11-04,Resolved,12.0
8143,1219,Transcript,2023-10-30,2023-11-13,Resolved,14.0
8144,1221,Academic Advising,2023-10-12,2023-10-16,Resolved,4.0
8145,1221,Transcript,2023-09-06,2023-09-29,Resolved,23.0
8146,1224,Disciplinary,2023-09-13,2023-10-06,Resolved,23.0
8147,1224,Transcript,2023-09-10,2023-09-20,Resolved,10.0
8148,1226,Disciplinary,2023-10-06,2023-10-18,Resolved,12.0
8149,1230,Immunization,2023-10-16,2023-10-23,Resolved,7.0
8150,1230,Academic Advising,2023-09-14,2023-09-24,Resolved,10.0
8151,1233,Immunization,2023-10-29,2023-11-06,Resolved,8.0
8152,1233,Transcript,2023-09-17,2023-09-21,Resolved,4.0
8153,1234,Immunization,2023-09-15,2023-10-05,Resolved,20.0
8154,1239,Academic Advising,2023-09-30,2023-10-10,Resolved,10.0
8155,1239,Transcript,2023-09-09,2023-09-24,Resolved,15.0
8156,1240,Academic Advising,2023-09-20,2023-09-21,Resolved,1.0
8157,1245,Immunization,2023-09-22,2023-09-27,Resolved,5.0
8158,1247,Transcript,2023-10-28,2023-11-06,Resolved,9.0
8159,1247,Disciplinary,2023-10-11,2023-10-26,Resolved,15.0
8160,1256,Disciplinary,2023-10-22,2023-11-03,Resolved,12.0
8161,1257,Financial,2023-09-22,2023-10-11,Resolved,19.0
8162,1260,Academic Advising,2023-10-20,2023-10-26,Resolved,6.0
8163,1261,Transcript,2023-10-27,2023-11-01,Resolved,5.0
8164,1266,Immunization,2023-10-28,2023-11-13,Resolved,16.0
8165,1267,Financial,2023-09-29,2023-10-22,Resolved,23.0
8166,1269,Transcript,2023-10-01,2023-10-21,Resolved,20.0
8167,1271,Immunization,2023-10-16,2023-11-11,Resolved,26.0
8168,1275,Transcript,2023-09-24,2023-10-22,Resolved,28.0
8169,1275,Financial,2023-09-07,,Active,
8170,1276,Transcript,2023-10-16,,Active,
8171,1278,Immunization,2023-09-12,,Active,
8172,1279,Academic Advising,2023-10-18,2023-10-19,Resolved,1.0
8173,1279,Disciplinary,2023-09-06,2023-10-03,Resolved,27.0
8174,1281,Disciplinary,2023-09-17,2023-09-28,Resolved,11.0
8175,1282,Transcript,2023-10-20,2023-11-09,Resolved,20.0
8176,1284,Financial,2023-09-28,2023-10-01,Resolved,3.0
8177,1284,Immunization,2023-09-11,2023-10-01,Resolved,20.0
8178,1289,Disciplinary,2023-10-06,2023-10-18,Resolved,12.0
8179,1290,Transcript,2023-10-06,2023-10-09,Resolved,3.0
8180,1290,Academic Advising,2023-09-04,2023-09-28,Resolved,24.0
8181,1291,Academic Advising,2023-09-28,2023-10-05,Resolved,7.0
8182,1291,Academic Advising,2023-10-13,2023-10-18,Resolved,5.0
8183,1297,Disciplinary,2023-10-06,2023-10-15,Resolved,9.0
8184,1297,Financial,2023-09-27,2023-10-26,Resolved,29.0
8185,1300,Academic Advising,2023-10-09,2023-10-27,Resolved,18.0
8186,1301,Academic Advising,2023-10-04,2023-10-25,Resolved,21.0
8187,1301,Financial,2023-10-15,,Active,
8188,1303,Academic Advising,2023-10-06,,Active,
8189,1304,Academic Advising,2023-10-20,2023-11-05,Resolved,16.0
8190,1307,Transcript,2023-09-18,2023-09-20,Resolved,2.0
8191,1307,Disciplinary,2023-09-11,2023-10-01,Resolved,20.0
8192,1312,Transcript,2023-10-01,2023-10-25,Resolved,24.0
8193,1313,Disciplinary,2023-10-02,2023-10-19,Resolved,17.0
8194,1313,Financial,2023-09-08,2023-09-09,Resolved,1.0
8195,1316,Immunization,2023-10-21,2023-11-11,Resolved,21.0
8196,1316,Financial,2023-10-03,2023-10-13,Resolved,10.0
8197,1319,Disciplinary,2023-09-12,2023-10-10,Resolved,28.0
8198,1322,Immunization,2023-10-21,2023-10-25,Resolved,4.0
8199,1324,Disciplinary,2023-09-11,2023-10-07,Resolved,26.0
8200,1326,Disciplinary,2023-10-11,2023-11-09,Resolved,29.0
8201,1326,Transcript,2023-10-06,2023-11-01,Resolved,26.0
8202,1328,Academic Advising,2023-09-11,2023-09-18,Resolved,7.0
8203,1335,Financial,2023-10-14,2023-11-12,Resolved,29.0
8204,1336,Disciplinary,2023-09-01,2023-09-28,Resolved,27.0
8205,1336,Financial,2023-10-28,2023-11-22,Resolved,25.0
8206,1340,Transcript,2023-09-30,,Active,
8207,1340,Financial,2023-09-21,2023-10-10,Resolved,19.0
8208,1341,Transcript,2023-09-04,2023-09-12,Resolved,8.0
8209,1341,Academic Advising,2023-09-26,2023-10-25,Resolved,29.0
8210,1344,Immunization,2023-09-01,2023-09-06,Resolved,5.0
8211,1344,Academic Advising,2023-09-29,2023-10-26,Resolved,27.0
8212,1345,Disciplinary,2023-09-30,2023-10-06,Resolved,6.0
8213,1345,Transcript,2023-10-27,2023-11-03,Resolved,7.0
8214,1349,Academic Advising,2023-09-14,,Active,
8215,1349,Immunization,2023-10-05,2023-11-01,Resolved,27.0
8216,1350,Transcript,2023-10-01,2023-10-18,Resolved,17.0
8217,1350,Immunization,2023-10-12,2023-10-24,Resolved,12.0
8218,1351,Immunization,2023-09-09,2023-10-04,Resolved,25.0
8219,1352,Immunization,2023-09-05,2023-09-07,Resolved,2.0
8220,1354,Financial,2023-10-08,2023-10-22,Resolved,14.0
8221,1356,Immunization,2023-10-13,2023-11-11,Resolved,29.0
8222,1356,Financial,2023-09-14,2023-09-20,Resolved,6.0
8223,1362,Immunization,2023-09-17,2023-10-14,Resolved,27.0
8224,1364,Immunization,2023-09-28,2023-10-20,Resolved,22.0
8225,1367,Disciplinary,2023-10-10,2023-10-18,Resolved,8.0
8226,1369,Disciplinary,2023-09-25,2023-10-02,Resolved,7.0
8227,1372,Financial,2023-09-11,2023-09-13,Resolved,2.0
8228,1373,Academic Advising,2023-09-22,2023-09-25,Resolved,3.0
8229,1376,Financial,2023-09-25,2023-09-27,Resolved,2.0
8230,1376,Academic Advising,2023-10-23,2023-11-01,Resolved,9.0
8231,1378,Disciplinary,2023-09-15,2023-10-09,Resolved,24.0
8232,1379,Immunization,2023-09-20,2023-10-02,Resolved,12.0
8233,1379,Transcript,2023-09-06,2023-09-09,Resolved,3.0
8234,1382,Academic Advising,2023-09-03,2023-09-24,Resolved,21.0
8235,1382,Disciplinary,2023-10-14,2023-10-22,Resolved,8.0
8236,1384,Academic Advising,2023-09-07,2023-10-06,Resolved,29.0
8237,1385,Financial,2023-10-06,,Active,
8238,1386,Transcript,2023-10-14,,Active,
8239,1387,Disciplinary,2023-09-18,2023-10-02,Resolved,14.0
8240,1387,Transcript,2023-10-13,2023-11-10,Resolved,28.0
8241,1388,Disciplinary,2023-10-28,,Active,
8242,1388,Transcript,2023-09-17,2023-09-21,Resolved,4.0
8243,1391,Academic Advising,2023-10-29,2023-11-06,Resolved,8.0
8244,1391,Transcript,2023-10-06,2023-10-14,Resolved,8.0
8245,1392,Academic Advising,2023-09-29,2023-10-03,Resolved,4.0
8246,1395,Financial,2023-09-21,2023-10-13,Resolved,22.0
8247,1395,Academic Advising,2023-10-01,2023-10-16,Resolved,15.0
8248,1399,Financial,2023-10-11,2023-10-18,Resolved,7.0
8249,1399,Immunization,2023-10-04,,Active,
8250,1402,Financial,2023-10-20,2023-11-12,Resolved,23.0
8251,1404,Immunization,2023-09-22,2023-10-16,Resolved,24.0
8252,1404,Academic Advising,2023-09-08,2023-09-27,Resolved,19.0
8253,1408,Academic Advising,2023-10-04,2023-11-02,Resolved,29.0
8254,1408,Immunization,2023-10-12,2023-11-02,Resolved,21.0
8255,1414,Immunization,2023-10-22,2023-11-18,Resolved,27.0
8256,1417,Transcript,2023-10-26,2023-10-29,Resolved,3.0
8257,1417,Immunization,2023-10-18,2023-10-21,Resolved,3.0
8258,1418,Immunization,2023-09-12,,Active,
8259,1418,Academic Advising,2023-10-15,2023-10-26,Resolved,11.0
8260,1422,Disciplinary,2023-10-15,2023-11-05,Resolved,21.0
8261,1422,Immunization,2023-09-03,2023-09-09,Resolved,6.0
8262,1423,Immunization,2023-10-27,2023-11-22,Resolved,26.0
8263,1432,Transcript,2023-09-07,2023-10-02,Resolved,25.0
8264,1433,Financial,2023-09-10,2023-09-23,Resolved,13.0
8265,1436,Transcript,2023-09-07,2023-09-17,Resolved,10.0
8266,1436,Financial,2023-09-29,2023-10-06,Resolved,7.0
8267,1438,Immunization,2023-10-09,,Active,
8268,1443,Disciplinary,2023-10-16,2023-11-03,Resolved,18.0
8269,1443,Academic Advising,2023-09-03,,Active,
8270,1445,Disciplinary,2023-09-22,2023-10-15,Resolved,23.0
8271,1445,Financial,2023-10-16,2023-11-06,Resolved,21.0
8272,1446,Disciplinary,2023-10-26,2023-11-03,Resolved,8.0
8273,1447,Immunization,2023-09-29,2023-10-21,Resolved,22.0
8274,1450,Financial,2023-09-18,2023-09-28,Resolved,10.0
8275,1450,Financial,2023-10-28,,Active,
8276,1451,Financial,2023-09-22,2023-10-15,Resolved,23.0
8277,1457,Disciplinary,2023-10-14,2023-11-02,Resolved,19.0
8278,1457,Immunization,2023-10-29,2023-11-15,Resolved,17.0
8279,1460,Immunization,2023-10-07,2023-10-29,Resolved,22.0
8280,1460,Immunization,2023-09-04,2023-09-09,Resolved,5.0
8281,1463,Financial,2023-09-24,2023-09-25,Resolved,1.0
8282,1464,Transcript,2023-10-17,2023-11-07,Resolved,21.0
8283,1464,Transcript,2023-09-19,2023-10-12,Resolved,23.0
8284,1472,Immunization,2023-09-06,2023-09-24,Resolved,18.0
8285,1472,Disciplinary,2023-09-22,2023-09-30,Resolved,8.0
8286,1473,Academic Advising,2023-09-03,2023-09-16,Resolved,13.0
8287,1475,Transcript,2023-10-15,2023-10-21,Resolved,6.0
8288,1477,Immunization,2023-09-21,2023-10-20,Resolved,29.0
8289,1477,Financial,2023-09-30,2023-10-24,Resolved,24.0
8290,1478,Disciplinary,2023-09-30,2023-10-26,Resolved,26.0
8291,1478,Academic Advising,2023-09-20,,Active,
8292,1486,Transcript,2023-10-21,2023-10-27,Resolved,6.0
8293,1491,Financial,2023-09-09,2023-09-14,Resolved,5.0
8294,1494,Transcript,2023-10-02,,Active,
8295,1496,Disciplinary,2023-10-01,2023-10-14,Resolved,13.0
8296,1496,Financial,2023-10-11,2023-11-05,Resolved,25.0
8297,1497,Transcript,2023-10-12,2023-10-22,Resolved,10.0
8298,1501,Transcript,2023-10-18,2023-11-10,Resolved,23.0
8299,1501,Transcript,2023-10-03,,Active,
8300,1502,Disciplinary,2023-09-25,,Active,
8301,1505,Disciplinary,2023-10-06,2023-10-30,Resolved,24.0
8302,1505,Academic Advising,2023-09-04,,Active,
8303,1506,Transcript,2023-09-28,2023-10-27,Resolved,29.0
8304,1506,Academic Advising,2023-10-28,,Active,
8305,1507,Financial,2023-10-02,2023-10-10,Resolved,8.0
8306,1507,Immunization,2023-10-16,2023-11-02,Resolved,17.0
8307,1508,Immunization,2023-09-09,2023-09-17,Resolved,8.0
8308,1509,Academic Advising,2023-10-03,,Active,
8309,1509,Transcript,2023-10-07,2023-11-01,Resolved,25.0
8310,1515,Financial,2023-10-24,2023-11-09,Resolved,16.0
8311,1515,Immunization,2023-10-30,2023-11-15,Resolved,16.0
8312,1519,Immunization,2023-09-23,2023-10-01,Resolved,8.0
8313,1523,Disciplinary,2023-10-16,2023-11-05,Resolved,20.0
8314,1524,Transcript,2023-09-24,2023-10-05,Resolved,11.0
8315,1525,Academic Advising,2023-10-06,2023-10-27,Resolved,21.0
8316,1525,Immunization,2023-10-28,2023-11-02,Resolved,5.0
8317,1526,Academic Advising,2023-10-23,2023-11-13,Resolved,21.0
8318,1529,Disciplinary,2023-09-03,2023-09-18,Resolved,15.0
8319,1529,Immunization,2023-10-23,2023-11-17,Resolved,25.0
8320,1530,Academic Advising,2023-09-25,2023-09-28,Resolved,3.0
8321,1530,Disciplinary,2023-09-12,2023-10-05,Resolved,23.0
8322,1532,Financial,2023-09-16,2023-10-03,Resolved,17.0
8323,1532,Financial,2023-09-03,2023-09-25,Resolved,22.0
8324,1536,Immunization,2023-10-08,,Active,
8325,1539,Disciplinary,2023-10-21,2023-11-14,Resolved,24.0
8326,1540,Disciplinary,2023-09-05,2023-09-06,Resolved,1.0
8327,1540,Transcript,2023-10-17,,Active,
8328,1541,Immunization,2023-10-04,2023-10-07,Resolved,3.0
8329,1544,Transcript,2023-09-11,2023-10-09,Resolved,28.0
8330,1547,Academic Advising,2023-10-16,2023-10-29,Resolved,13.0
8331,1547,Immunization,2023-10-23,,Active,
8332,1549,Financial,2023-10-03,2023-10-09,Resolved,6.0
8333,1550,Financial,2023-10-18,2023-10-21,Resolved,3.0
8334,1552,Disciplinary,2023-09-21,2023-09-25,Resolved,4.0
8335,1552,Financial,2023-10-12,2023-10-16,Resolved,4.0
8336,1554,Immunization,2023-09-12,2023-10-08,Resolved,26.0
8337,1554,Disciplinary,2023-10-06,2023-10-22,Resolved,16.0
8338,1560,Financial,2023-10-18,2023-10-20,Resolved,2.0
8339,1562,Transcript,2023-10-07,2023-11-03,Resolved,27.0
8340,1564,Academic Advising,2023-09-21,2023-09-23,Resolved,2.0
8341,1567,Immunization,2023-09-04,2023-09-14,Resolved,10.0
8342,1569,Transcript,2023-09-02,2023-09-04,Resolved,2.0
8343,1569,Financial,2023-10-14,2023-10-16,Resolved,2.0
8344,1571,Immunization,2023-10-17,2023-11-11,Resolved,25.0
8345,1571,Immunization,2023-09-15,2023-09-27,Resolved,12.0
8346,1572,Transcript,2023-09-10,2023-10-01,Resolved,21.0
8347,1572,Immunization,2023-10-01,2023-10-05,Resolved,4.0
8348,1574,Academic Advising,2023-10-28,2023-11-16,Resolved,19.0
8349,1579,Academic Advising,2023-10-19,2023-11-10,Resolved,22.0
8350,1582,Immunization,2023-09-27,2023-10-08,Resolved,11.0
8351,1587,Academic Advising,2023-09-11,2023-09-19,Resolved,8.0
8352,1587,Immunization,2023-10-27,,Active,
8353,1592,Transcript,2023-09-14,2023-10-06,Resolved,22.0
8354,1592,Financial,2023-10-13,,Active,
8355,1593,Academic Advising,2023-09-26,2023-09-29,Resolved,3.0
8356,1594,Disciplinary,2023-10-15,,Active,
8357,1594,Financial,2023-09-30,2023-10-20,Resolved,20.0
8358,1597,Transcript,2023-10-12,2023-11-07,Resolved,26.0
8359,1598,Transcript,2023-09-08,2023-09-11,Resolved,3.0
8360,1600,Disciplinary,2023-10-12,2023-11-05,Resolved,24.0
8361,1601,Financial,2023-09-10,2023-09-17,Resolved,7.0
8362,1604,Transcript,2023-09-28,,Active,
8363,1604,Transcript,2023-09-08,2023-10-03,Resolved,25.0
8364,1607,Disciplinary,2023-09-01,2023-09-16,Resolved,15.0
8365,1608,Transcript,2023-10-24,2023-11-11,Resolved,18.0
8366,1609,Academic Advising,2023-09-10,2023-09-28,Resolved,18.0
8367,1610,Financial,2023-10-30,2023-11-19,Resolved,20.0
8368,1610,Academic Advising,2023-10-13,2023-11-11,Resolved,29.0
8369,1611,Academic Advising,2023-09-11,2023-10-06,Resolved,25.0
8370,1611,Academic Advising,2023-10-29,2023-11-07,Resolved,9.0
8371,1612,Academic Advising,2023-10-17,,Active,
8372,1618,Academic Advising,2023-10-26,2023-11-19,Resolved,24.0
8373,1619,Transcript,2023-10-15,2023-10-19,Resolved,4.0
8374,1619,Academic Advising,2023-10-29,2023-11-07,Resolved,9.0
8375,1620,Transcript,2023-09-04,,Active,
8376,1620,Transcript,2023-09-05,2023-09-15,Resolved,10.0
8377,1632,Transcript,2023-10-10,2023-10-14,Resolved,4.0
8378,1632,Immunization,2023-10-29,2023-10-30,Resolved,1.0
8379,1634,Transcript,2023-10-27,,Active,
8380,1634,Financial,2023-09-06,2023-09-12,Resolved,6.0
8381,1635,Immunization,2023-10-02,2023-10-12,Resolved,10.0
8382,1635,Financial,2023-09-30,2023-10-26,Resolved,26.0
8383,1636,Financial,2023-10-20,2023-11-04,Resolved,15.0
8384,1638,Transcript,2023-10-02,2023-10-20,Resolved,18.0
8385,1638,Academic Advising,2023-09-22,2023-10-14,Resolved,22.0
8386,1641,Financial,2023-10-12,2023-11-06,Resolved,25.0
8387,1648,Financial,2023-10-07,2023-10-14,Resolved,7.0
8388,1648,Immunization,2023-10-21,2023-10-29,Resolved,8.0
8389,1649,Immunization,2023-09-17,,Active,
8390,1653,Transcript,2023-10-25,2023-11-10,Resolved,16.0
8391,1656,Immunization,2023-09-16,2023-10-07,Resolved,21.0
8392,1660,Immunization,2023-10-15,2023-11-03,Resolved,19.0
8393,1660,Disciplinary,2023-09-27,2023-09-29,Resolved,2.0
8394,1661,Transcript,2023-09-12,2023-09-30,Resolved,18.0
8395,1661,Immunization,2023-10-01,2023-10-22,Resolved,21.0
8396,1662,Immunization,2023-09-26,2023-10-18,Resolved,22.0
8397,1667,Transcript,2023-10-18,2023-10-29,Resolved,11.0
8398,1667,Disciplinary,2023-10-01,,Active,
8399,1669,Academic Advising,2023-09-13,2023-10-04,Resolved,21.0
8400,1669,Immunization,2023-10-09,2023-11-05,Resolved,27.0
8401,1670,Transcript,2023-10-10,2023-10-22,Resolved,12.0
8402,1670,Disciplinary,2023-10-27,2023-11-05,Resolved,9.0
8403,1678,Academic Advising,2023-10-05,2023-10-26,Resolved,21.0
8404,1681,Financial,2023-09-04,2023-10-01,Resolved,27.0
8405,1681,Disciplinary,2023-10-11,2023-10-19,Resolved,8.0
8406,1685,Disciplinary,2023-09-28,,Active,
8407,1689,Immunization,2023-10-29,2023-11-04,Resolved,6.0
8408,1692,Transcript,2023-09-01,2023-09-29,Resolved,28.0
8409,1692,Academic Advising,2023-09-13,2023-09-25,Resolved,12.0
8410,1694,Transcript,2023-09-17,2023-10-02,Resolved,15.0
8411,1695,Disciplinary,2023-09-03,,Active,
8412,1696,Academic Advising,2023-10-23,,Active,
8413,1702,Immunization,2023-10-23,2023-10-27,Resolved,4.0
8414,1702,Financial,2023-10-16,2023-10-22,Resolved,6.0
8415,1703,Academic Advising,2023-09-02,2023-09-19,Resolved,17.0
8416,1703,Financial,2023-09-17,2023-10-12,Resolved,25.0
8417,1706,Transcript,2023-09-10,,Active,
8418,1714,Financial,2023-10-05,2023-10-08,Resolved,3.0
8419,1715,Academic Advising,2023-10-26,2023-11-18,Resolved,23.0
