enrollment_id,student_id,course_level,enrolled_flag,enrollment_date,final_grade,completed_flag
3087,1021,200,Yes,2024-01-14,A,Yes
3088,1021,300,Yes,2024-01-06,C,Yes
3089,1022,300,Yes,2024-01-01,A,Yes
3090,1022,300,Yes,2024-01-06,B,Yes
3091,1022,200,Yes,2024-01-05,C,Yes
3092,1023,200,Yes,2024-01-10,W,No
3093,1023,400,Yes,2024-01-15,A,Yes
3094,1023,300,Yes,2024-01-14,C,Yes
3095,1023,200,Yes,2024-01-02,A,Yes
3096,1025,400,Yes,2024-01-10,B,Yes
3097,1025,100,Yes,2024-01-07,F,No
3098,1025,300,Yes,2024-01-09,B,Yes
3099,1025,300,Yes,2024-01-16,B,Yes
3100,1025,200,Yes,2024-01-03,A,Yes
3101,1026,200,Yes,2024-01-05,C,Yes
3102,1026,100,Yes,2024-01-09,B,Yes
3103,1026,100,Yes,2024-01-08,F,No
3104,1026,300,Yes,2024-01-15,A,Yes
3105,1026,100,Yes,2024-01-14,A,Yes
3106,1027,400,Yes,2024-01-14,A,Yes
3107,1027,300,Yes,2024-01-12,C,Yes
3108,1027,300,Yes,2024-01-01,D,Yes
3109,1027,200,Yes,2024-01-19,D,Yes
3110,1028,300,Yes,2024-01-19,A,Yes
3111,1028,100,Yes,2024-01-13,A,Yes
3112,1028,100,Yes,2024-01-01,W,No
3113,1029,300,Yes,2024-01-03,B,Yes
3114,1029,400,Yes,2024-01-08,A,Yes
3115,1029,200,Yes,2024-01-18,D,Yes
3116,1031,300,Yes,2024-01-19,C,Yes
3117,1031,100,Yes,2024-01-15,C,Yes
3118,1031,400,Yes,2024-01-12,B,Yes
3119,1031,200,Yes,2024-01-18,A,Yes
3120,1031,200,Yes,2024-01-12,C,Yes
3121,1032,300,Yes,2024-01-11,C,Yes
3122,1032,400,Yes,2024-01-12,A,Yes
3123,1032,200,Yes,2024-01-02,A,Yes
3124,1032,100,Yes,2024-01-10,A,Yes
3125,1032,400,Yes,2024-01-05,C,Yes
3126,1033,200,Yes,2023-12-31,B,Yes
3127,1033,200,Yes,2024-01-18,W,No
3128,1033,200,Yes,2024-01-09,B,Yes
3129,1033,200,Yes,2024-01-08,B,Yes
3130,1033,400,Yes,2024-01-15,D,Yes
3131,1034,200,Yes,2024-01-12,A,Yes
3132,1034,400,Yes,2024-01-16,A,Yes
3133,1034,400,Yes,2024-01-16,A,Yes
3134,1034,100,Yes,2024-01-02,D,Yes
3135,1034,300,Yes,2024-01-06,A,Yes
3136,1035,400,Yes,2024-01-07,D,Yes
3137,1035,200,Yes,2024-01-18,A,Yes
3138,1035,200,Yes,2024-01-01,A,Yes
3139,1035,200,Yes,2024-01-16,F,No
3140,1035,400,Yes,2024-01-17,B,Yes
3141,1037,200,Yes,2024-01-01,F,No
3142,1037,400,Yes,2024-01-02,B,Yes
3143,1037,200,Yes,2024-01-10,C,Yes
3144,1037,400,Yes,2024-01-02,B,Yes
3145,1039,200,Yes,2024-01-07,A,Yes
3146,1039,300,Yes,2023-12-31,A,Yes
3147,1039,100,Yes,2024-01-19,B,Yes
3148,1039,300,Yes,2024-01-17,F,No
3149,1040,100,Yes,2024-01-13,D,Yes
3150,1040,400,Yes,2024-01-10,D,Yes
3151,1040,400,Yes,2024-01-12,W,No
3152,1040,400,Yes,2024-01-12,D,Yes
3153,1040,300,Yes,2024-01-10,A,Yes
3154,1041,100,Yes,2024-01-08,B,Yes
3155,1041,400,Yes,2024-01-03,F,No
3156,1041,200,Yes,2024-01-17,A,Yes
3157,1041,100,Yes,2024-01-05,C,Yes
3158,1041,300,Yes,2024-01-14,F,No
3159,1043,300,Yes,2024-01-07,A,Yes
3160,1043,400,Yes,2024-01-01,B,Yes
3161,1043,400,Yes,2024-01-12,A,Yes
3162,1044,400,Yes,2024-01-09,W,No
3163,1044,200,Yes,2024-01-15,C,Yes
3164,1044,200,Yes,2024-01-02,B,Yes
3165,1045,400,Yes,2023-12-31,C,Yes
3166,1045,400,Yes,2024-01-04,A,Yes
3167,1045,400,Yes,2024-01-16,F,No
3168,1045,200,Yes,2024-01-03,C,Yes
3169,1045,200,Yes,2023-12-31,C,Yes
3170,1046,200,Yes,2024-01-03,B,Yes
3171,1046,100,Yes,2024-01-01,F,No
3172,1046,300,Yes,2024-01-17,A,Yes
3173,1046,200,Yes,2024-01-13,C,Yes
3174,1047,100,Yes,2024-01-08,B,Yes
3175,1047,400,Yes,2024-01-11,B,Yes
3176,1047,100,Yes,2024-01-19,D,Yes
3177,1047,200,Yes,2024-01-16,B,Yes
3178,1048,100,Yes,2024-01-01,W,No
3179,1048,300,Yes,2024-01-15,D,Yes
3180,1048,200,Yes,2024-01-12,B,Yes
3181,1048,300,Yes,2024-01-10,C,Yes
3182,1048,400,Yes,2024-01-05,B,Yes
3183,1049,100,Yes,2024-01-03,C,Yes
3184,1049,200,Yes,2024-01-12,A,Yes
3185,1049,200,Yes,2024-01-12,B,Yes
3186,1049,300,Yes,2024-01-17,W,No
3187,1049,300,Yes,2024-01-03,A,Yes
3188,1050,200,Yes,2024-01-09,A,Yes
3189,1050,200,Yes,2024-01-19,B,Yes
3190,1050,300,Yes,2024-01-18,A,Yes
3191,1050,200,Yes,2024-01-07,B,Yes
3192,1051,200,Yes,2024-01-17,A,Yes
3193,1051,100,Yes,2024-01-03,B,Yes
3194,1051,200,Yes,2024-01-14,F,No
3195,1051,100,Yes,2024-01-18,D,Yes
3196,1052,100,Yes,2024-01-08,C,Yes
3197,1052,100,Yes,2024-01-08,B,Yes
3198,1052,200,Yes,2024-01-06,B,Yes
3199,1052,400,Yes,2024-01-11,A,Yes
3200,1052,400,Yes,2024-01-17,C,Yes
3201,1053,200,Yes,2024-01-12,B,Yes
3202,1053,300,Yes,2024-01-06,W,No
3203,1053,100,Yes,2024-01-04,B,Yes
3204,1053,100,Yes,2023-12-31,B,Yes
3205,1054,300,Yes,2024-01-07,D,Yes
3206,1054,200,Yes,2024-01-17,F,No
3207,1054,100,Yes,2024-01-15,F,No
3208,1055,200,Yes,2024-01-06,W,No
3209,1055,100,Yes,2024-01-18,A,Yes
3210,1055,400,Yes,2024-01-02,C,Yes
3211,1055,100,Yes,2024-01-09,C,Yes
3212,1055,300,Yes,2024-01-07,D,Yes
3213,1056,400,Yes,2024-01-06,C,Yes
3214,1056,300,Yes,2024-01-11,F,No
3215,1056,300,Yes,2024-01-17,C,Yes
3216,1056,300,Yes,2024-01-11,A,Yes
3217,1057,100,Yes,2024-01-17,F,No
3218,1057,300,Yes,2024-01-09,D,Yes
3219,1057,200,Yes,2024-01-14,B,Yes
3220,1057,200,Yes,2024-01-01,C,Yes
3221,1057,400,Yes,2024-01-17,C,Yes
3222,1058,200,Yes,2024-01-09,F,No
3223,1058,400,Yes,2024-01-17,D,Yes
3224,1058,200,Yes,2024-01-14,A,Yes
3225,1059,100,Yes,2024-01-19,F,No
3226,1059,100,Yes,2024-01-02,B,Yes
3227,1059,200,Yes,2024-01-13,C,Yes
3228,1059,200,Yes,2024-01-05,B,Yes
3229,1060,400,Yes,2024-01-13,D,Yes
3230,1060,200,Yes,2024-01-11,B,Yes
3231,1060,200,Yes,2024-01-15,C,Yes
3232,1060,100,Yes,2024-01-08,F,No
3233,1061,200,Yes,2024-01-09,C,Yes
3234,1061,200,Yes,2023-12-31,A,Yes
3235,1061,300,Yes,2024-01-03,C,Yes
3236,1062,300,Yes,2024-01-04,C,Yes
3237,1062,300,Yes,2024-01-13,C,Yes
3238,1062,100,Yes,2024-01-13,C,Yes
3239,1062,200,Yes,2024-01-06,A,Yes
3240,1062,100,Yes,2024-01-14,B,Yes
3241,1063,300,Yes,2024-01-11,A,Yes
3242,1063,300,Yes,2024-01-14,F,No
3243,1063,400,Yes,2024-01-09,A,Yes
3244,1064,300,Yes,2024-01-07,D,Yes
3245,1064,200,Yes,2024-01-19,C,Yes
3246,1064,400,Yes,2024-01-17,A,Yes
3247,1065,400,Yes,2024-01-15,F,No
3248,1065,300,Yes,2024-01-13,B,Yes
3249,1065,100,Yes,2024-01-01,W,No
3250,1066,200,Yes,2024-01-17,B,Yes
3251,1066,100,Yes,2024-01-14,A,Yes
3252,1066,100,Yes,2024-01-04,A,Yes
3253,1067,300,Yes,2024-01-16,D,Yes
3254,1067,100,Yes,2024-01-09,F,No
3255,1067,300,Yes,2024-01-16,B,Yes
3256,1067,400,Yes,2024-01-06,B,Yes
3257,1068,200,Yes,2024-01-04,D,Yes
3258,1068,300,Yes,2024-01-14,B,Yes
3259,1068,100,Yes,2024-01-07,A,Yes
3260,1068,100,Yes,2024-01-05,A,Yes
3261,1068,200,Yes,2023-12-31,C,Yes
3262,1069,400,Yes,2024-01-18,A,Yes
3263,1069,300,Yes,2024-01-09,B,Yes
3264,1069,100,Yes,2024-01-15,C,Yes
3265,1069,200,Yes,2024-01-04,F,No
3266,1069,200,Yes,2024-01-04,W,No
3267,1070,200,Yes,2023-12-31,W,No
3268,1070,400,Yes,2023-12-31,F,No
3269,1070,300,Yes,2024-01-15,D,Yes
3270,1070,300,Yes,2024-01-10,C,Yes
3271,1071,400,Yes,2024-01-02,A,Yes
3272,1071,300,Yes,2024-01-19,D,Yes
3273,1071,200,Yes,2024-01-09,A,Yes
3274,1072,100,Yes,2024-01-16,A,Yes
3275,1072,400,Yes,2024-01-04,C,Yes
3276,1072,100,Yes,2024-01-05,A,Yes
3277,1072,100,Yes,2024-01-12,A,Yes
3278,1072,300,Yes,2024-01-15,B,Yes
3279,1073,100,Yes,2024-01-04,A,Yes
3280,1073,200,Yes,2024-01-04,A,Yes
3281,1073,300,Yes,2024-01-18,B,Yes
3282,1073,400,Yes,2024-01-12,C,Yes
3283,1073,200,Yes,2024-01-14,A,Yes
3284,1074,100,Yes,2024-01-17,C,Yes
3285,1074,400,Yes,2024-01-10,A,Yes
3286,1074,300,Yes,2024-01-07,B,Yes
3287,1075,200,Yes,2024-01-02,B,Yes
3288,1075,200,Yes,2024-01-09,A,Yes
3289,1075,100,Yes,2024-01-04,C,Yes
3290,1075,200,Yes,2024-01-02,B,Yes
3291,1075,200,Yes,2024-01-19,B,Yes
3292,1076,100,Yes,2024-01-16,B,Yes
3293,1076,300,Yes,2024-01-09,A,Yes
3294,1076,100,Yes,2024-01-13,B,Yes
3295,1077,100,Yes,2024-01-16,D,Yes
3296,1077,400,Yes,2024-01-09,A,Yes
3297,1077,100,Yes,2024-01-14,C,Yes
3298,1078,400,Yes,2024-01-06,C,Yes
3299,1078,400,Yes,2024-01-02,A,Yes
3300,1078,300,Yes,2024-01-03,B,Yes
3301,1078,400,Yes,2024-01-13,C,Yes
3302,1079,200,Yes,2024-01-11,B,Yes
3303,1079,300,Yes,2024-01-09,W,No
3304,1079,400,Yes,2023-12-31,A,Yes
3305,1079,300,Yes,2024-01-19,B,Yes
3306,1080,400,Yes,2024-01-11,B,Yes
3307,1080,400,Yes,2024-01-03,F,No
3308,1080,200,Yes,2024-01-11,C,Yes
3309,1081,400,Yes,2024-01-11,A,Yes
3310,1081,400,Yes,2024-01-15,A,Yes
3311,1081,200,Yes,2024-01-08,W,No
3312,1081,300,Yes,2023-12-31,A,Yes
3313,1081,300,Yes,2024-01-18,C,Yes
3314,1082,400,Yes,2024-01-17,B,Yes
3315,1082,100,Yes,2024-01-19,A,Yes
3316,1082,100,Yes,2024-01-15,A,Yes
3317,1083,100,Yes,2024-01-19,B,Yes
3318,1083,200,Yes,2024-01-07,C,Yes
3319,1083,200,Yes,2024-01-12,C,Yes
3320,1083,400,Yes,2024-01-19,F,No
3321,1083,100,Yes,2024-01-03,B,Yes
3322,1084,200,Yes,2024-01-02,A,Yes
3323,1084,200,Yes,2024-01-03,C,Yes
3324,1084,300,Yes,2024-01-15,B,Yes
3325,1084,400,Yes,2024-01-05,B,Yes
3326,1085,100,Yes,2024-01-02,A,Yes
3327,1085,300,Yes,2024-01-04,C,Yes
3328,1085,300,Yes,2024-01-08,D,Yes
3329,1086,400,Yes,2024-01-07,B,Yes
3330,1086,200,Yes,2024-01-16,D,Yes
3331,1086,400,Yes,2023-12-31,A,Yes
3332,1087,300,Yes,2023-12-31,F,No
3333,1087,200,Yes,2024-01-16,C,Yes
3334,1087,400,Yes,2024-01-01,B,Yes
3335,1087,300,Yes,2024-01-04,A,Yes
3336,1088,200,Yes,2024-01-16,B,Yes
3337,1088,400,Yes,2024-01-12,A,Yes
3338,1088,300,Yes,2024-01-11,A,Yes
3339,1088,100,Yes,2024-01-11,A,Yes
3340,1089,400,Yes,2024-01-05,C,Yes
3341,1089,200,Yes,2024-01-10,A,Yes
3342,1089,400,Yes,2024-01-02,C,Yes
3343,1089,100,Yes,2024-01-18,A,Yes
3344,1090,400,Yes,2024-01-18,C,Yes
3345,1090,400,Yes,2024-01-18,D,Yes
3346,1090,100,Yes,2024-01-09,B,Yes
3347,1090,300,Yes,2024-01-15,A,Yes
3348,1090,100,Yes,2024-01-17,A,Yes
3349,1091,300,Yes,2024-01-02,A,Yes
3350,1091,300,Yes,2024-01-10,A,Yes
3351,1091,100,Yes,2024-01-17,C,Yes
3352,1091,200,Yes,2024-01-16,A,Yes
3353,1091,200,Yes,2024-01-04,A,Yes
3354,1092,400,Yes,2024-01-02,C,Yes
3355,1092,400,Yes,2024-01-17,C,Yes
3356,1092,300,Yes,2024-01-19,B,Yes
3357,1092,100,Yes,2024-01-10,A,Yes
3358,1092,400,Yes,2024-01-12,C,Yes
3359,1093,400,Yes,2024-01-16,C,Yes
3360,1093,300,Yes,2024-01-16,B,Yes
3361,1093,100,Yes,2024-01-12,B,Yes
3362,1093,300,Yes,2024-01-18,F,No
3363,1093,100,Yes,2024-01-17,A,Yes
3364,1094,100,Yes,2024-01-01,C,Yes
3365,1094,200,Yes,2024-01-13,C,Yes
3366,1094,400,Yes,2024-01-13,B,Yes
3367,1094,100,Yes,2024-01-11,F,No
3368,1095,200,Yes,2024-01-15,C,Yes
3369,1095,400,Yes,2024-01-18,C,Yes
3370,1095,200,Yes,2024-01-15,D,Yes
3371,1096,100,Yes,2024-01-04,B,Yes
3372,1096,200,Yes,2023-12-31,C,Yes
3373,1096,300,Yes,2024-01-11,A,Yes
3374,1096,400,Yes,2024-01-14,A,Yes
3375,1097,200,Yes,2024-01-15,D,Yes
3376,1097,100,Yes,2024-01-11,B,Yes
3377,1097,300,Yes,2024-01-02,C,Yes
3378,1097,400,Yes,2024-01-01,A,Yes
3379,1097,400,Yes,2024-01-10,A,Yes
3380,1098,100,Yes,2024-01-12,C,Yes
3381,1098,100,Yes,2024-01-03,C,Yes
3382,1098,400,Yes,2024-01-03,W,No
3383,1099,100,Yes,2024-01-14,F,No
3384,1099,400,Yes,2024-01-11,C,Yes
3385,1099,200,Yes,2024-01-09,A,Yes
3386,1100,200,Yes,2024-01-04,B,Yes
3387,1100,100,Yes,2024-01-12,D,Yes
3388,1100,300,Yes,2024-01-14,F,No
3389,1100,300,Yes,2024-01-10,F,No
3390,1101,300,Yes,2024-01-04,C,Yes
3391,1101,100,Yes,2024-01-01,C,Yes
3392,1101,100,Yes,2024-01-06,B,Yes
3393,1101,400,Yes,2024-01-08,B,Yes
3394,1102,200,Yes,2024-01-15,B,Yes
3395,1102,200,Yes,2024-01-01,C,Yes
3396,1102,100,Yes,2024-01-17,C,Yes
3397,1102,400,Yes,2024-01-04,C,Yes
3398,1102,100,Yes,2024-01-18,F,No
3399,1103,400,Yes,2024-01-08,F,No
3400,1103,100,Yes,2024-01-19,B,Yes
3401,1103,200,Yes,2024-01-01,F,No
3402,1103,400,Yes,2023-12-31,C,Yes
3403,1104,100,Yes,2024-01-12,C,Yes
3404,1104,100,Yes,2024-01-06,B,Yes
3405,1104,100,Yes,2024-01-12,B,Yes
3406,1104,100,Yes,2024-01-08,D,Yes
3407,1104,100,Yes,2024-01-07,A,Yes
3408,1105,300,Yes,2024-01-19,F,No
3409,1105,100,Yes,2024-01-11,C,Yes
3410,1105,400,Yes,2024-01-12,D,Yes
3411,1105,100,Yes,2023-12-31,A,Yes
3412,1106,200,Yes,2024-01-07,A,Yes
3413,1106,400,Yes,2024-01-16,D,Yes
3414,1106,300,Yes,2024-01-17,B,Yes
3415,1106,400,Yes,2024-01-01,B,Yes
3416,1106,200,Yes,2024-01-07,W,No
3417,1107,200,Yes,2024-01-03,C,Yes
3418,1107,200,Yes,2024-01-01,D,Yes
3419,1107,100,Yes,2024-01-07,B,Yes
3420,1107,200,Yes,2023-12-31,D,Yes
3421,1108,100,Yes,2024-01-17,B,Yes
3422,1108,200,Yes,2024-01-18,A,Yes
3423,1108,300,Yes,2024-01-10,A,Yes
3424,1108,200,Yes,2024-01-02,C,Yes
3425,1109,400,Yes,2024-01-02,W,No
3426,1109,100,Yes,2024-01-06,F,No
3427,1109,300,Yes,2024-01-06,B,Yes
3428,1109,100,Yes,2024-01-18,B,Yes
3429,1110,300,Yes,2024-01-04,C,Yes
3430,1110,300,Yes,2024-01-03,B,Yes
3431,1110,200,Yes,2024-01-07,B,Yes
3432,1110,200,Yes,2024-01-01,A,Yes
3433,1110,300,Yes,2024-01-10,A,Yes
3434,1111,100,Yes,2023-12-31,F,No
3435,1111,100,Yes,2024-01-14,C,Yes
3436,1111,200,Yes,2024-01-12,A,Yes
3437,1111,100,Yes,2024-01-16,F,No
3438,1112,100,Yes,2024-01-11,B,Yes
3439,1112,300,Yes,2024-01-07,A,Yes
3440,1112,100,Yes,2024-01-09,C,Yes
3441,1113,300,Yes,2024-01-04,F,No
3442,1113,300,Yes,2024-01-17,W,No
3443,1113,400,Yes,2024-01-17,D,Yes
3444,1113,200,Yes,2024-01-13,C,Yes
3445,1113,400,Yes,2023-12-31,B,Yes
3446,1114,200,Yes,2024-01-04,C,Yes
3447,1114,200,Yes,2024-01-07,B,Yes
3448,1114,200,Yes,2024-01-12,B,Yes
3449,1115,300,Yes,2024-01-11,A,Yes
3450,1115,200,Yes,2024-01-02,B,Yes
3451,1115,200,Yes,2024-01-01,C,Yes
3452,1115,300,Yes,2024-01-11,C,Yes
3453,1116,100,Yes,2024-01-04,C,Yes
3454,1116,300,Yes,2024-01-12,B,Yes
3455,1116,400,Yes,2024-01-16,C,Yes
3456,1116,200,Yes,2024-01-14,A,Yes
3457,1117,200,Yes,2024-01-03,B,Yes
3458,1117,200,Yes,2024-01-09,C,Yes
3459,1117,100,Yes,2024-01-02,C,Yes
3460,1118,400,Yes,2024-01-14,B,Yes
3461,1118,300,Yes,2024-01-06,A,Yes
3462,1118,200,Yes,2024-01-11,A,Yes
3463,1119,200,Yes,2024-01-08,B,Yes
3464,1119,300,Yes,2024-01-08,W,No
3465,1119,400,Yes,2024-01-15,B,Yes
3466,1119,300,Yes,2024-01-12,B,Yes
3467,1119,100,Yes,2024-01-09,F,No
3468,1120,400,Yes,2024-01-14,B,Yes
3469,1120,200,Yes,2024-01-06,A,Yes
3470,1120,100,Yes,2024-01-18,C,Yes
3471,1121,400,Yes,2024-01-08,B,Yes
3472,1121,200,Yes,2024-01-13,D,Yes
3473,1121,200,Yes,2024-01-04,C,Yes
3474,1121,300,Yes,2024-01-01,C,Yes
3475,1122,100,Yes,2024-01-19,W,No
3476,1122,100,Yes,2024-01-16,F,No
3477,1122,200,Yes,2024-01-07,C,Yes
3478,1123,200,Yes,2024-01-08,D,Yes
3479,1123,300,Yes,2024-01-07,A,Yes
3480,1123,200,Yes,2024-01-08,B,Yes
3481,1123,400,Yes,2024-01-09,D,Yes
3482,1124,400,Yes,2024-01-10,B,Yes
3483,1124,200,Yes,2024-01-16,D,Yes
3484,1124,100,Yes,2024-01-10,B,Yes
3485,1125,400,Yes,2024-01-02,C,Yes
3486,1125,100,Yes,2024-01-05,A,Yes
3487,1125,300,Yes,2024-01-18,A,Yes
3488,1125,200,Yes,2024-01-01,F,No
3489,1125,400,Yes,2024-01-03,F,No
3490,1126,100,Yes,2024-01-03,C,Yes
3491,1126,400,Yes,2024-01-18,B,Yes
3492,1126,300,Yes,2023-12-31,W,No
3493,1127,100,Yes,2024-01-16,W,No
3494,1127,100,Yes,2024-01-12,B,Yes
3495,1127,200,Yes,2024-01-01,W,No
3496,1127,400,Yes,2024-01-19,C,Yes
3497,1128,400,Yes,2024-01-17,C,Yes
3498,1128,200,Yes,2024-01-10,B,Yes
3499,1128,200,Yes,2024-01-07,B,Yes
3500,1128,300,Yes,2023-12-31,B,Yes
3501,1129,100,Yes,2024-01-05,C,Yes
3502,1129,100,Yes,2024-01-18,C,Yes
3503,1129,300,Yes,2024-01-15,F,No
3504,1129,300,Yes,2024-01-07,C,Yes
3505,1130,200,Yes,2024-01-01,B,Yes
3506,1130,200,Yes,2024-01-11,A,Yes
3507,1130,100,Yes,2024-01-01,D,Yes
3508,1130,400,Yes,2024-01-16,A,Yes
3509,1132,200,Yes,2024-01-16,A,Yes
3510,1132,200,Yes,2024-01-04,A,Yes
3511,1132,200,Yes,2024-01-04,B,Yes
3512,1132,100,Yes,2024-01-08,A,Yes
3513,1133,200,Yes,2024-01-14,B,Yes
3514,1133,300,Yes,2024-01-07,D,Yes
3515,1133,400,Yes,2024-01-19,B,Yes
3516,1134,300,Yes,2024-01-16,B,Yes
3517,1134,100,Yes,2024-01-15,F,No
3518,1134,300,Yes,2024-01-14,B,Yes
3519,1135,300,Yes,2024-01-04,C,Yes
3520,1135,300,Yes,2024-01-09,F,No
3521,1135,400,Yes,2024-01-06,B,Yes
3522,1135,100,Yes,2024-01-14,B,Yes
3523,1135,100,Yes,2024-01-05,A,Yes
3524,1136,100,Yes,2024-01-19,F,No
3525,1136,400,Yes,2024-01-05,A,Yes
3526,1136,400,Yes,2024-01-05,A,Yes
3527,1136,400,Yes,2024-01-05,F,No
3528,1136,400,Yes,2024-01-06,B,Yes
3529,1137,200,Yes,2024-01-04,C,Yes
3530,1137,200,Yes,2024-01-15,B,Yes
3531,1137,300,Yes,2024-01-07,A,Yes
3532,1137,200,Yes,2024-01-08,A,Yes
3533,1138,200,Yes,2024-01-13,A,Yes
3534,1138,200,Yes,2024-01-16,B,Yes
3535,1138,400,Yes,2024-01-12,B,Yes
3536,1139,100,Yes,2024-01-16,C,Yes
3537,1139,400,Yes,2024-01-06,A,Yes
3538,1139,200,Yes,2024-01-09,W,No
3539,1139,100,Yes,2024-01-12,F,No
3540,1139,100,Yes,2024-01-08,W,No
3541,1140,400,Yes,2024-01-13,A,Yes
3542,1140,300,Yes,2024-01-09,B,Yes
3543,1140,100,Yes,2024-01-11,C,Yes
3544,1140,100,Yes,2024-01-15,C,Yes
3545,1141,400,Yes,2024-01-06,B,Yes
3546,1141,400,Yes,2024-01-18,W,No
3547,1141,200,Yes,2024-01-16,W,No
3548,1141,200,Yes,2024-01-12,A,Yes
3549,1141,200,Yes,2024-01-06,A,Yes
3550,1142,200,Yes,2024-01-07,C,Yes
3551,1142,300,Yes,2024-01-12,C,Yes
3552,1142,400,Yes,2024-01-16,F,No
3553,1142,300,Yes,2024-01-08,A,Yes
3554,1143,200,Yes,2024-01-05,A,Yes
3555,1143,100,Yes,2024-01-11,A,Yes
3556,1143,100,Yes,2024-01-11,F,No
3557,1143,300,Yes,2024-01-10,A,Yes
3558,1143,200,Yes,2024-01-16,A,Yes
3559,1144,300,Yes,2024-01-04,B,Yes
3560,1144,400,Yes,2024-01-16,F,No
3561,1144,400,Yes,2024-01-01,B,Yes
3562,1144,200,Yes,2024-01-07,C,Yes
3563,1144,300,Yes,2024-01-07,A,Yes
