student_id,age,gender,major,class_level,international_student,first_generation,admission_term,academic_standing,gpa_band,student_status
1023,20,Male,Psychology,Freshman,No,Yes,Fall 2023,Good Standing,Medium,Graduate
1024,22,Non-binary,Nursing,Senior,No,No,Fall 2023,Good Standing,Medium,Graduate
1025,24,Female,Business Administration,Junior,Yes,Yes,Fall 2022,Warning,Medium,Graduate
1026,26,Non-binary,Computer Science,Sophomore,No,Yes,Spring 2023,Good Standing,Medium,Dropout
1027,24,Non-binary,Biology,Junior,No,No,Spring 2024,Good Standing,Low,Dropout
1028,21,Male,Psychology,Junior,No,No,Fall 2023,Good Standing,High,Enrolled
1029,31,Male,Mechanical Engineering,Senior,No,No,Fall 2023,Good Standing,Medium,Enrolled
1030,26,Male,Biology,Senior,No,No,Fall 2023,Good Standing,Medium,Graduate
1031,19,Female,Architecture,Senior,No,No,Spring 2024,Good Standing,Medium,Dropout
1032,32,Male,Nursing,Junior,Yes,Yes,Fall 2022,Good Standing,Medium,Graduate
1033,24,Male,Computer Science,Sophomore,No,No,Spring 2023,Good Standing,Low,Enrolled
1034,29,Female,Mechanical Engineering,Freshman,No,No,Spring 2024,Warning,Medium,Enrolled
1035,25,Female,Mechanical Engineering,Junior,No,No,Fall 2022,Probation,High,Graduate
1036,32,Male,Business Administration,Senior,No,Yes,Spring 2024,Good Standing,High,Graduate
1037,20,Male,Biology,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate
1038,31,Male,Business Administration,Sophomore,No,No,Fall 2023,Good Standing,Medium,Dropout
1039,34,Male,Computer Science,Freshman,No,No,Fall 2022,Good Standing,High,Dropout
1040,21,Non-binary,Architecture,Senior,No,No,Fall 2023,Good Standing,High,Dropout
1041,25,Non-binary,Biology,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled
1042,21,Male,Education,Junior,No,No,Fall 2022,Good Standing,Medium,Enrolled
1043,19,Non-binary,Biology,Senior,No,No,Fall 2023,Good Standing,High,Graduate
1044,23,Female,Architecture,Junior,No,No,Fall 2023,Probation,Medium,Enrolled
1045,27,Non-binary,Education,Senior,No,No,Spring 2023,Good Standing,Medium,Graduate
1046,21,Non-binary,Mechanical Engineering,Junior,Yes,Yes,Fall 2022,Good Standing,Low,Dropout
1047,29,Male,Business Administration,Junior,No,No,Fall 2022,Good Standing,High,Graduate
1048,19,Non-binary,Nursing,Junior,No,No,Fall 2023,Probation,Medium,Enrolled
1049,27,Non-binary,Biology,Sophomore,No,No,Fall 2023,Good Standing,Medium,Dropout
1050,21,Non-binary,Nursing,Sophomore,No,Yes,Fall 2022,Good Standing,High,Graduate
1051,31,Non-binary,Biology,Senior,No,No,Fall 2022,Good Standing,Medium,Dropout
1052,33,Female,Mechanical Engineering,Sophomore,Yes,No,Spring 2024,Probation,High,Graduate
1053,32,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate
1054,25,Male,Computer Science,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate
1055,31,Female,Computer Science,Freshman,No,No,Fall 2023,Probation,High,Graduate
1056,25,Non-binary,Computer Science,Sophomore,No,No,Spring 2023,Probation,High,Enrolled
1057,33,Female,Biology,Freshman,No,No,Spring 2023,Good Standing,Medium,Graduate
1058,30,Non-binary,Biology,Freshman,No,Yes,Spring 2024,Good Standing,High,Dropout
1059,32,Female,Nursing,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled
1060,30,Male,Business Administration,Junior,No,Yes,Fall 2023,Good Standing,Medium,Dropout
1061,26,Male,Architecture,Senior,No,Yes,Fall 2023,Good Standing,Low,Enrolled
1062,32,Male,Biology,Freshman,No,No,Fall 2022,Good Standing,Medium,Dropout
1063,30,Non-binary,Business Administration,Senior,Yes,No,Fall 2023,Good Standing,Medium,Graduate
1064,18,Non-binary,Nursing,Senior,No,No,Fall 2022,Good Standing,High,Graduate
1065,24,Female,Biology,Freshman,No,No,Spring 2024,Good Standing,High,Graduate
1066,26,Female,Computer Science,Sophomore,No,Yes,Spring 2023,Good Standing,High,Dropout
1067,18,Male,Computer Science,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate
1068,29,Non-binary,Mechanical Engineering,Junior,No,Yes,Fall 2023,Good Standing,Medium,Enrolled
1069,25,Female,Education,Freshman,No,No,Fall 2023,Good Standing,Medium,Enrolled
1070,28,Non-binary,Psychology,Sophomore,No,No,Spring 2024,Good Standing,Medium,Graduate
1071,34,Non-binary,Architecture,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate
1072,25,Male,Education,Senior,No,No,Fall 2022,Good Standing,High,Enrolled
1073,20,Male,Biology,Junior,No,No,Fall 2022,Good Standing,High,Graduate
1074,20,Non-binary,Business Administration,Junior,No,No,Spring 2023,Good Standing,Low,Dropout
1075,18,Non-binary,Biology,Junior,Yes,Yes,Spring 2023,Good Standing,Medium,Graduate
1076,22,Non-binary,Business Administration,Senior,No,Yes,Fall 2023,Good Standing,Medium,Graduate
1077,27,Non-binary,Business Administration,Junior,No,No,Spring 2024,Probation,Medium,Graduate
1078,24,Male,Education,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate
1079,26,Female,Psychology,Senior,Yes,Yes,Fall 2023,Good Standing,High,Dropout
1080,24,Male,Mechanical Engineering,Sophomore,No,Yes,Fall 2022,Good Standing,Low,Enrolled
1081,26,Female,Education,Senior,No,No,Spring 2023,Good Standing,Medium,Enrolled
1082,25,Non-binary,Psychology,Freshman,No,No,Spring 2024,Good Standing,High,Graduate
1083,29,Female,Computer Science,Freshman,No,Yes,Fall 2023,Good Standing,Low,Dropout
1084,19,Male,Computer Science,Junior,No,Yes,Fall 2022,Good Standing,Medium,Graduate
1085,18,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate
1086,33,Non-binary,Nursing,Senior,No,No,Spring 2023,Good Standing,High,Enrolled
1087,22,Male,Biology,Senior,No,Yes,Spring 2023,Good Standing,High,Dropout
1088,20,Non-binary,Biology,Sophomore,No,Yes,Fall 2023,Good Standing,High,Enrolled
1089,29,Male,Business Administration,Junior,No,No,Fall 2023,Good Standing,High,Graduate
1090,25,Male,Nursing,Freshman,Yes,No,Fall 2022,Good Standing,Medium,Dropout
1091,20,Non-binary,Architecture,Freshman,No,No,Fall 2022,Good Standing,Medium,Enrolled
1092,18,Female,Psychology,Junior,No,No,Spring 2024,Good Standing,Medium,Enrolled
1093,20,Male,Architecture,Freshman,Yes,Yes,Fall 2022,Good Standing,Low,Enrolled
1094,22,Female,Architecture,Freshman,No,No,Fall 2023,Good Standing,High,Enrolled
1095,32,Male,Computer Science,Junior,No,No,Spring 2023,Good Standing,Low,Dropout
1096,31,Male,Architecture,Freshman,No,Yes,Fall 2023,Good Standing,Low,Dropout
1097,20,Male,Biology,Senior,Yes,No,Spring 2024,Good Standing,Medium,Dropout
1098,18,Male,Education,Sophomore,No,No,Spring 2024,Good Standing,High,Graduate
1099,22,Female,Nursing,Junior,Yes,Yes,Spring 2023,Probation,Medium,Dropout
1100,31,Female,Psychology,Sophomore,Yes,Yes,Fall 2023,Good Standing,Medium,Graduate
1101,24,Male,Computer Science,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate
1102,26,Male,Architecture,Freshman,No,Yes,Fall 2023,Probation,High,Graduate
1103,32,Female,Education,Senior,No,No,Spring 2024,Good Standing,Medium,Graduate
1104,32,Non-binary,Nursing,Junior,Yes,No,Spring 2023,Probation,Medium,Graduate
1105,27,Non-binary,Business Administration,Freshman,No,No,Spring 2024,Good Standing,High,Graduate
1106,30,Female,Business Administration,Junior,Yes,Yes,Fall 2023,Good Standing,Medium,Graduate
1107,24,Male,Business Administration,Junior,No,No,Fall 2023,Good Standing,High,Graduate
1108,34,Male,Biology,Junior,No,No,Spring 2024,Warning,Medium,Enrolled
1109,21,Non-binary,Psychology,Junior,No,No,Fall 2022,Probation,Low,Enrolled
1110,22,Non-binary,Business Administration,Junior,Yes,Yes,Spring 2023,Good Standing,High,Graduate
1111,24,Female,Biology,Sophomore,No,Yes,Spring 2023,Good Standing,Medium,Dropout
1112,30,Non-binary,Mechanical Engineering,Senior,No,Yes,Spring 2024,Good Standing,High,Graduate
1113,32,Female,Biology,Junior,No,No,Spring 2024,Good Standing,Medium,Graduate
1114,28,Non-binary,Computer Science,Sophomore,Yes,No,Fall 2022,Probation,Low,Dropout
1115,21,Non-binary,Biology,Freshman,No,No,Spring 2023,Good Standing,Medium,Graduate
1116,30,Non-binary,Psychology,Junior,No,No,Fall 2022,Good Standing,Low,Enrolled
1117,24,Male,Education,Freshman,No,Yes,Spring 2023,Warning,Medium,Enrolled
1118,19,Male,Architecture,Junior,No,No,Spring 2024,Probation,Medium,Graduate
1119,27,Male,Biology,Sophomore,No,No,Spring 2023,Good Standing,Low,Enrolled
1120,30,Non-binary,Business Administration,Sophomore,No,Yes,Spring 2023,Good Standing,High,Enrolled
1121,23,Female,Computer Science,Sophomore,No,Yes,Spring 2023,Warning,High,Graduate
1122,29,Female,Nursing,Senior,Yes,No,Fall 2022,Good Standing,Medium,Dropout
1123,29,Female,Business Administration,Freshman,No,Yes,Fall 2022,Good Standing,Medium,Enrolled
1124,28,Female,Computer Science,Senior,No,Yes,Spring 2023,Good Standing,Medium,Dropout
1125,24,Male,Mechanical Engineering,Junior,No,No,Fall 2023,Probation,High,Graduate
1126,18,Male,Architecture,Freshman,No,No,Fall 2022,Good Standing,Low,Dropout
1127,18,Non-binary,Nursing,Sophomore,No,Yes,Spring 2024,Good Standing,Medium,Enrolled
1128,30,Non-binary,Mechanical Engineering,Freshman,No,No,Spring 2024,Good Standing,Low,Dropout
1129,26,Female,Education,Sophomore,No,No,Spring 2023,Probation,Medium,Dropout
1130,20,Male,Computer Science,Senior,No,No,Spring 2024,Good Standing,Medium,Graduate
1131,24,Female,Mechanical Engineering,Senior,No,Yes,Fall 2022,Good Standing,Low,Enrolled
1132,23,Non-binary,Architecture,Sophomore,No,No,Fall 2023,Good Standing,Medium,Graduate
1133,25,Non-binary,Architecture,Sophomore,No,No,Fall 2023,Probation,Low,Enrolled
1134,26,Female,Education,Junior,No,No,Fall 2023,Good Standing,High,Graduate
1135,22,Non-binary,Architecture,Senior,Yes,Yes,Spring 2024,Good Standing,Medium,Enrolled
1136,18,Female,Computer Science,Senior,Yes,Yes,Spring 2023,Warning,Low,Dropout
1137,27,Male,Computer Science,Junior,No,No,Spring 2024,Good Standing,Low,Dropout
1138,29,Female,Architecture,Senior,No,Yes,Spring 2023,Good Standing,High,Enrolled
1139,32,Male,Mechanical Engineering,Sophomore,No,No,Fall 2023,Probation,High,Graduate
1140,26,Male,Computer Science,Freshman,No,Yes,Fall 2022,Good Standing,Medium,Enrolled
1141,34,Non-binary,Business Administration,Freshman,Yes,Yes,Spring 2024,Good Standing,Low,Dropout
1142,34,Non-binary,Architecture,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate
1143,29,Non-binary,Computer Science,Junior,Yes,Yes,Fall 2023,Good Standing,Medium,Graduate
1144,24,Female,Psychology,Sophomore,Yes,No,Spring 2023,Good Standing,Medium,Enrolled
1145,19,Female,Education,Freshman,No,Yes,Fall 2022,Good Standing,High,Enrolled
1146,20,Non-binary,Architecture,Sophomore,No,No,Spring 2024,Probation,Low,Dropout
1147,34,Female,Computer Science,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate
1148,22,Non-binary,Psychology,Senior,Yes,Yes,Fall 2022,Good Standing,Medium,Dropout
1149,34,Female,Computer Science,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate
1150,34,Male,Computer Science,Senior,No,Yes,Spring 2023,Good Standing,Medium,Dropout
1151,34,Male,Mechanical Engineering,Junior,No,No,Spring 2024,Good Standing,Medium,Graduate
1152,19,Non-binary,Business Administration,Senior,No,No,Fall 2023,Good Standing,Low,Dropout
1153,19,Female,Architecture,Senior,No,Yes,Spring 2023,Good Standing,Medium,Graduate
1154,22,Female,Education,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate
1155,18,Male,Architecture,Sophomore,No,No,Spring 2024,Good Standing,High,Graduate
1156,18,Male,Business Administration,Sophomore,No,No,Fall 2023,Good Standing,Low,Enrolled
1157,19,Non-binary,Nursing,Freshman,No,Yes,Spring 2024,Good Standing,High,Enrolled
1158,29,Male,Mechanical Engineering,Freshman,No,No,Spring 2023,Good Standing,High,Graduate
1159,23,Non-binary,Mechanical Engineering,Freshman,No,Yes,Fall 2023,Probation,High,Graduate
1160,21,Male,Business Administration,Senior,Yes,No,Fall 2022,Good Standing,Medium,Graduate
1161,28,Male,Biology,Sophomore,No,Yes,Spring 2023,Good Standing,Low,Enrolled
1162,34,Female,Mechanical Engineering,Junior,No,No,Fall 2023,Good Standing,Medium,Graduate
1163,23,Male,Architecture,Senior,No,Yes,Spring 2023,Good Standing,High,Enrolled
1164,22,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,High,Graduate
1165,19,Non-binary,Mechanical Engineering,Senior,No,No,Fall 2023,Good Standing,Medium,Enrolled
1166,23,Male,Computer Science,Junior,No,No,Spring 2024,Good Standing,High,Enrolled
1167,28,Non-binary,Business Administration,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate
1168,33,Male,Business Administration,Junior,No,No,Fall 2022,Good Standing,Medium,Dropout
1169,33,Male,Architecture,Freshman,No,No,Fall 2023,Good Standing,Low,Enrolled
1170,18,Non-binary,Psychology,Junior,No,No,Fall 2022,Probation,Medium,Enrolled
1171,26,Female,Mechanical Engineering,Sophomore,No,No,Fall 2022,Good Standing,High,Dropout
1172,23,Non-binary,Mechanical Engineering,Senior,No,No,Spring 2023,Good Standing,Low,Dropout
1173,33,Non-binary,Business Administration,Senior,No,No,Spring 2024,Good Standing,Medium,Graduate
1174,20,Non-binary,Computer Science,Senior,Yes,Yes,Fall 2022,Probation,Low,Dropout
1175,21,Female,Computer Science,Freshman,No,No,Spring 2023,Good Standing,High,Enrolled
1176,20,Male,Education,Junior,Yes,Yes,Fall 2022,Good Standing,Medium,Enrolled
1177,24,Non-binary,Computer Science,Sophomore,No,No,Fall 2022,Good Standing,Low,Enrolled
1178,26,Non-binary,Mechanical Engineering,Junior,Yes,No,Fall 2022,Good Standing,High,Graduate
1179,18,Female,Biology,Senior,No,No,Spring 2024,Good Standing,Medium,Enrolled
1180,25,Non-binary,Psychology,Sophomore,Yes,Yes,Fall 2023,Probation,High,Graduate
1181,24,Male,Business Administration,Sophomore,No,Yes,Spring 2024,Good Standing,Medium,Dropout
1182,25,Female,Nursing,Senior,No,No,Spring 2023,Good Standing,Low,Enrolled
1183,18,Male,Psychology,Junior,No,Yes,Fall 2023,Good Standing,Medium,Dropout
1184,28,Male,Architecture,Senior,No,No,Spring 2023,Good Standing,Low,Enrolled
1185,27,Female,Architecture,Junior,No,No,Fall 2022,Good Standing,Medium,Graduate
1186,20,Non-binary,Biology,Sophomore,No,No,Fall 2023,Good Standing,Low,Dropout
1187,24,Male,Nursing,Sophomore,No,Yes,Spring 2023,Good Standing,Medium,Dropout
1188,33,Male,Psychology,Senior,No,No,Fall 2022,Probation,High,Graduate
1189,33,Male,Computer Science,Sophomore,No,Yes,Spring 2023,Good Standing,Medium,Graduate
1190,34,Male,Mechanical Engineering,Freshman,No,No,Spring 2023,Warning,Medium,Dropout
1191,19,Female,Biology,Sophomore,No,Yes,Spring 2024,Probation,Low,Dropout
1192,18,Female,Nursing,Freshman,No,No,Fall 2022,Good Standing,Medium,Dropout
1193,33,Male,Biology,Sophomore,No,Yes,Spring 2024,Good Standing,Medium,Graduate
1194,29,Non-binary,Psychology,Senior,No,No,Fall 2023,Probation,Low,Dropout
1195,22,Male,Mechanical Engineering,Senior,No,Yes,Fall 2022,Good Standing,Low,Dropout
1196,22,Non-binary,Biology,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate
1197,26,Male,Nursing,Senior,Yes,No,Spring 2024,Good Standing,Low,Enrolled
1198,26,Non-binary,Business Administration,Sophomore,No,Yes,Fall 2023,Good Standing,Medium,Graduate
1199,20,Male,Psychology,Sophomore,No,No,Spring 2023,Warning,High,Graduate
1200,33,Non-binary,Business Administration,Senior,Yes,No,Spring 2023,Probation,High,Graduate
1201,33,Male,Computer Science,Sophomore,No,Yes,Spring 2023,Probation,Low,Dropout
1202,20,Male,Business Administration,Junior,No,Yes,Fall 2023,Good Standing,High,Graduate
1203,18,Non-binary,Business Administration,Junior,No,No,Spring 2024,Good Standing,Medium,Enrolled
1204,28,Female,Education,Sophomore,No,Yes,Fall 2022,Good Standing,Low,Enrolled
1205,34,Non-binary,Psychology,Senior,No,Yes,Fall 2023,Good Standing,High,Graduate
1206,25,Female,Computer Science,Freshman,No,Yes,Spring 2023,Good Standing,Low,Dropout
1207,21,Male,Business Administration,Senior,No,No,Spring 2023,Good Standing,Low,Dropout
1208,23,Non-binary,Architecture,Freshman,No,No,Fall 2022,Probation,Low,Enrolled
1209,25,Non-binary,Mechanical Engineering,Senior,No,Yes,Fall 2023,Warning,High,Graduate
1210,20,Non-binary,Nursing,Sophomore,Yes,No,Spring 2023,Good Standing,Medium,Graduate
1211,33,Female,Business Administration,Junior,No,No,Fall 2023,Good Standing,Low,Dropout
1212,20,Female,Computer Science,Senior,No,Yes,Spring 2024,Good Standing,High,Graduate
1213,31,Male,Business Administration,Freshman,No,Yes,Fall 2023,Good Standing,Medium,Graduate
1214,19,Female,Nursing,Junior,Yes,No,Spring 2024,Good Standing,Medium,Graduate
1215,20,Female,Computer Science,Freshman,No,No,Fall 2022,Good Standing,High,Graduate
1216,33,Male,Psychology,Sophomore,No,Yes,Spring 2024,Probation,Low,Enrolled
1217,26,Non-binary,Computer Science,Junior,No,No,Spring 2024,Good Standing,Medium,Enrolled
1218,21,Non-binary,Psychology,Freshman,No,No,Fall 2022,Good Standing,High,Graduate
1219,18,Male,Computer Science,Senior,No,Yes,Spring 2023,Good Standing,High,Graduate
1220,21,Non-binary,Architecture,Sophomore,No,No,Fall 2022,Good Standing,High,Enrolled
1221,18,Female,Biology,Sophomore,Yes,No,Fall 2023,Good Standing,High,Enrolled
1222,31,Male,Nursing,Sophomore,No,No,Fall 2022,Good Standing,Medium,Graduate
1223,33,Male,Nursing,Senior,No,No,Fall 2023,Probation,High,Graduate
1224,25,Male,Computer Science,Senior,No,Yes,Spring 2023,Good Standing,Medium,Graduate
1225,24,Non-binary,Biology,Junior,No,No,Fall 2023,Good Standing,Low,Enrolled
1226,20,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Enrolled
1227,34,Male,Nursing,Junior,No,No,Fall 2022,Good Standing,High,Graduate
1228,18,Male,Architecture,Sophomore,No,Yes,Spring 2023,Good Standing,Low,Enrolled
1229,33,Non-binary,Psychology,Junior,No,Yes,Fall 2022,Good Standing,High,Graduate
1230,29,Female,Psychology,Freshman,No,Yes,Spring 2023,Good Standing,Low,Dropout
1231,31,Male,Mechanical Engineering,Sophomore,Yes,Yes,Spring 2023,Good Standing,Medium,Enrolled
1232,23,Female,Education,Sophomore,No,Yes,Fall 2022,Good Standing,Medium,Graduate
1233,23,Non-binary,Biology,Junior,No,No,Spring 2024,Good Standing,Medium,Enrolled
1234,30,Non-binary,Education,Sophomore,No,Yes,Fall 2023,Probation,Medium,Graduate
1235,25,Non-binary,Education,Senior,No,No,Spring 2024,Good Standing,Low,Dropout
1236,19,Non-binary,Psychology,Freshman,Yes,Yes,Spring 2023,Good Standing,Low,Dropout
1237,18,Female,Architecture,Junior,No,Yes,Fall 2023,Good Standing,Medium,Enrolled
1238,32,Male,Architecture,Junior,No,Yes,Spring 2024,Warning,Medium,Graduate
1239,18,Non-binary,Mechanical Engineering,Sophomore,No,Yes,Fall 2022,Good Standing,Low,Enrolled
1240,22,Non-binary,Education,Senior,No,No,Spring 2024,Good Standing,Medium,Enrolled
1241,33,Female,Education,Sophomore,Yes,Yes,Fall 2023,Good Standing,Low,Dropout
1242,21,Female,Computer Science,Sophomore,No,No,Fall 2023,Probation,Medium,Dropout
1243,20,Non-binary,Computer Science,Junior,Yes,No,Fall 2023,Good Standing,Medium,Enrolled
1244,34,Male,Computer Science,Sophomore,No,No,Fall 2023,Good Standing,High,Graduate
1245,34,Male,Business Administration,Freshman,No,No,Spring 2024,Warning,High,Enrolled
1246,29,Non-binary,Education,Sophomore,No,Yes,Fall 2022,Good Standing,Medium,Enrolled
1247,31,Female,Architecture,Sophomore,No,No,Fall 2022,Good Standing,Medium,Graduate
1248,23,Non-binary,Architecture,Junior,No,No,Fall 2023,Good Standing,Medium,Graduate
1249,20,Non-binary,Business Administration,Sophomore,No,Yes,Fall 2022,Good Standing,Medium,Graduate
1250,26,Female,Architecture,Senior,No,Yes,Spring 2024,Good Standing,Medium,Graduate
1251,22,Non-binary,Mechanical Engineering,Junior,No,Yes,Fall 2022,Probation,Low,Dropout
1252,34,Non-binary,Biology,Sophomore,No,No,Spring 2023,Good Standing,High,Graduate
1253,31,Non-binary,Psychology,Freshman,No,No,Fall 2022,Good Standing,Medium,Graduate
1254,20,Female,Education,Freshman,No,Yes,Fall 2023,Probation,High,Graduate
1255,18,Male,Architecture,Junior,No,No,Fall 2022,Warning,Medium,Enrolled
1256,18,Male,Psychology,Junior,No,No,Fall 2022,Good Standing,High,Graduate
1257,20,Female,Architecture,Sophomore,No,No,Fall 2022,Good Standing,Medium,Enrolled
1258,27,Male,Biology,Senior,No,Yes,Fall 2022,Good Standing,Medium,Graduate
1259,20,Non-binary,Computer Science,Sophomore,No,No,Spring 2023,Good Standing,High,Dropout
1260,25,Male,Education,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate
1261,31,Non-binary,Nursing,Senior,No,No,Fall 2023,Good Standing,Low,Dropout
1262,32,Male,Business Administration,Senior,No,No,Fall 2023,Good Standing,High,Dropout
1263,19,Female,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate
1264,27,Male,Education,Sophomore,Yes,Yes,Spring 2024,Good Standing,Medium,Graduate
1265,19,Male,Biology,Freshman,No,No,Fall 2022,Good Standing,Medium,Graduate
1266,34,Male,Computer Science,Junior,No,No,Spring 2023,Good Standing,High,Enrolled
1267,25,Female,Business Administration,Sophomore,No,No,Spring 2024,Good Standing,High,Graduate
1268,18,Male,Computer Science,Junior,No,Yes,Spring 2024,Good Standing,Medium,Graduate
1269,26,Female,Mechanical Engineering,Senior,Yes,Yes,Spring 2024,Good Standing,High,Enrolled
1270,28,Non-binary,Psychology,Senior,No,No,Spring 2024,Good Standing,High,Graduate
1271,33,Male,Biology,Sophomore,No,Yes,Fall 2022,Probation,Medium,Graduate
1272,24,Female,Nursing,Freshman,No,Yes,Spring 2023,Good Standing,Medium,Graduate
1273,27,Female,Psychology,Senior,No,Yes,Spring 2024,Good Standing,Medium,Enrolled
1274,20,Male,Psychology,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled
1275,30,Non-binary,Mechanical Engineering,Junior,No,Yes,Fall 2023,Good Standing,Medium,Graduate
1276,24,Female,Business Administration,Sophomore,No,No,Spring 2023,Good Standing,Medium,Graduate
1277,21,Male,Nursing,Junior,No,No,Fall 2023,Good Standing,High,Graduate
1278,30,Non-binary,Business Administration,Freshman,No,Yes,Fall 2022,Good Standing,Medium,Enrolled
1279,18,Female,Education,Senior,No,No,Fall 2022,Good Standing,Medium,Enrolled
1280,25,Female,Psychology,Junior,No,No,Spring 2023,Warning,Medium,Graduate
1281,31,Non-binary,Education,Junior,Yes,No,Spring 2024,Good Standing,Medium,Graduate
1282,33,Non-binary,Computer Science,Senior,No,No,Fall 2023,Good Standing,Medium,Dropout
1283,31,Male,Psychology,Sophomore,Yes,No,Fall 2023,Good Standing,High,Graduate
1284,29,Male,Business Administration,Junior,No,No,Spring 2023,Warning,High,Enrolled
1285,32,Female,Psychology,Sophomore,No,Yes,Spring 2023,Warning,Medium,Enrolled
1286,19,Non-binary,Computer Science,Sophomore,No,No,Fall 2023,Good Standing,Medium,Dropout
1287,19,Non-binary,Mechanical Engineering,Junior,No,No,Spring 2024,Good Standing,High,Graduate
1288,34,Non-binary,Education,Freshman,No,No,Spring 2023,Good Standing,Low,Dropout
1289,27,Female,Architecture,Sophomore,No,No,Fall 2022,Good Standing,Medium,Dropout
1290,23,Non-binary,Education,Junior,No,Yes,Fall 2023,Good Standing,Medium,Graduate
1291,32,Non-binary,Business Administration,Sophomore,No,No,Spring 2023,Good Standing,Medium,Dropout
1292,28,Female,Psychology,Senior,No,Yes,Spring 2023,Probation,High,Graduate
1293,22,Male,Business Administration,Freshman,No,No,Spring 2023,Good Standing,Medium,Graduate
1294,18,Male,Mechanical Engineering,Freshman,Yes,Yes,Fall 2023,Probation,Medium,Enrolled
1295,25,Female,Psychology,Senior,No,No,Fall 2022,Good Standing,High,Dropout
1296,29,Non-binary,Architecture,Senior,Yes,No,Fall 2022,Good Standing,Low,Enrolled
1297,29,Female,Psychology,Sophomore,No,No,Fall 2023,Good Standing,Medium,Graduate
1298,22,Male,Architecture,Senior,No,No,Spring 2023,Good Standing,High,Dropout
1299,24,Male,Business Administration,Freshman,Yes,No,Fall 2023,Good Standing,Medium,Graduate
1300,21,Female,Business Administration,Senior,No,No,Fall 2023,Good Standing,High,Graduate
1301,23,Female,Computer Science,Junior,No,No,Spring 2023,Probation,Low,Dropout
1302,30,Male,Biology,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled
1303,32,Female,Biology,Sophomore,No,No,Spring 2024,Good Standing,Medium,Graduate
1304,20,Male,Mechanical Engineering,Freshman,No,No,Fall 2022,Good Standing,Medium,Graduate
