intervention_id,student_id,intervention_type,intervention_date,staff_assigned,outcome
2078,1144,Academic Planning,2023-10-06,Advisor Smith,Follow-up Needed
2079,1148,At-Risk Outreach,2023-12-26,Advisor Smith,No Response
2080,1148,Career Counseling,2023-10-13,Advisor Jones,No Response
2081,1158,Academic Planning,2023-12-18,Advisor Garcia,Follow-up Needed
2082,1158,Career Counseling,2023-11-18,Advisor Smith,No Response
2083,1166,Career Counseling,2023-10-28,Advisor Smith,Follow-up Needed
2084,1166,Financial Aid Guidance,2023-10-01,Advisor Chen,Follow-up Needed
2085,1170,Career Counseling,2023-10-23,Advisor Smith,In Progress
2086,1171,At-Risk Outreach,2023-12-08,Advisor Chen,Successful
2087,1172,Career Counseling,2023-11-25,Advisor Jones,Successful
2088,1172,Academic Planning,2023-10-24,Advisor Garcia,In Progress
2089,1176,At-Risk Outreach,2023-12-15,Advisor Chen,Follow-up Needed
2090,1178,Financial Aid Guidance,2023-11-20,Advisor Jones,In Progress
2091,1180,At-Risk Outreach,2023-12-20,Advisor Smith,No Response
2092,1180,Financial Aid Guidance,2023-10-28,Advisor Jones,Follow-up Needed
2093,1182,Career Counseling,2023-10-14,Advisor Jones,In Progress
2094,1183,Academic Planning,2023-11-09,Advisor Jones,No Response
2095,1183,At-Risk Outreach,2023-10-18,Advisor Chen,Follow-up Needed
2096,1186,At-Risk Outreach,2023-12-19,Advisor Garcia,Successful
2097,1192,Career Counseling,2023-12-01,Advisor Chen,Follow-up Needed
2098,1192,Financial Aid Guidance,2023-12-20,Advisor Chen,In Progress
2099,1194,Financial Aid Guidance,2023-12-09,Advisor Chen,Successful
2100,1199,Financial Aid Guidance,2023-11-29,Advisor Jones,Follow-up Needed
2101,1200,Academic Planning,2023-10-26,Advisor Jones,No Response
2102,1200,Career Counseling,2023-11-18,Advisor Garcia,In Progress
2103,1201,Financial Aid Guidance,2023-10-25,Advisor Garcia,In Progress
2104,1201,Career Counseling,2023-10-16,Advisor Jones,No Response
2105,1203,Financial Aid Guidance,2023-10-07,Advisor Jones,In Progress
2106,1205,Financial Aid Guidance,2023-12-07,Advisor Smith,In Progress
2107,1205,Career Counseling,2023-10-06,Advisor Jones,Successful
2108,1210,Financial Aid Guidance,2023-12-20,Advisor Jones,In Progress
2109,1210,Academic Planning,2023-10-19,Advisor Chen,No Response
2110,1217,Career Counseling,2023-11-14,Advisor Chen,In Progress
2111,1220,At-Risk Outreach,2023-11-27,Advisor Chen,Follow-up Needed
2112,1224,Career Counseling,2023-12-11,Advisor Garcia,In Progress
2113,1224,Career Counseling,2023-12-05,Advisor Chen,Successful
2114,1226,Financial Aid Guidance,2023-10-17,Advisor Smith,Successful
2115,1226,Academic Planning,2023-10-10,Advisor Jones,Follow-up Needed
2116,1229,Financial Aid Guidance,2023-10-01,Advisor Chen,Successful
2117,1233,At-Risk Outreach,2023-11-30,Advisor Garcia,No Response
2118,1234,At-Risk Outreach,2023-11-15,Advisor Smith,In Progress
2119,1235,Financial Aid Guidance,2023-11-07,Advisor Garcia,Follow-up Needed
2120,1238,Financial Aid Guidance,2023-10-23,Advisor Garcia,Successful
2121,1238,Financial Aid Guidance,2023-11-19,Advisor Chen,Follow-up Needed
2122,1241,At-Risk Outreach,2023-11-28,Advisor Jones,In Progress
2123,1251,At-Risk Outreach,2023-12-15,Advisor Jones,Follow-up Needed
2124,1251,Academic Planning,2023-12-07,Advisor Garcia,In Progress
2125,1254,Career Counseling,2023-10-07,Advisor Jones,In Progress
2126,1258,Financial Aid Guidance,2023-12-13,Advisor Chen,Successful
2127,1262,Financial Aid Guidance,2023-12-20,Advisor Smith,Follow-up Needed
2128,1262,Academic Planning,2023-12-06,Advisor Smith,Follow-up Needed
2129,1264,Financial Aid Guidance,2023-10-04,Advisor Chen,No Response
2130,1264,Financial Aid Guidance,2023-11-11,Advisor Smith,Successful
2131,1268,Career Counseling,2023-10-09,Advisor Garcia,No Response
2132,1271,Career Counseling,2023-12-27,Advisor Chen,In Progress
2133,1274,Financial Aid Guidance,2023-12-06,Advisor Garcia,In Progress
2134,1281,At-Risk Outreach,2023-12-17,Advisor Chen,No Response
2135,1281,Financial Aid Guidance,2023-11-15,Advisor Chen,No Response
2136,1282,Financial Aid Guidance,2023-11-24,Advisor Chen,In Progress
2137,1282,Career Counseling,2023-12-14,Advisor Chen,Successful
2138,1284,Career Counseling,2023-11-22,Advisor Garcia,In Progress
2139,1284,Academic Planning,2023-12-10,Advisor Garcia,Follow-up Needed
2140,1285,Career Counseling,2023-11-19,Advisor Chen,No Response
2141,1288,Financial Aid Guidance,2023-11-05,Advisor Smith,Successful
2142,1305,Academic Planning,2023-11-21,Advisor Smith,No Response
2143,1313,Academic Planning,2023-11-29,Advisor Garcia,Successful
2144,1315,Academic Planning,2023-11-06,Advisor Smith,Follow-up Needed
2145,1316,At-Risk Outreach,2023-12-23,Advisor Jones,In Progress
2146,1316,Financial Aid Guidance,2023-11-21,Advisor Jones,In Progress
2147,1319,At-Risk Outreach,2023-12-15,Advisor Garcia,No Response
2148,1320,At-Risk Outreach,2023-10-10,Advisor Chen,No Response
2149,1321,Career Counseling,2023-11-05,Advisor Jones,In Progress
2150,1321,Financial Aid Guidance,2023-11-03,Advisor Smith,In Progress
2151,1322,Career Counseling,2023-10-29,Advisor Garcia,Follow-up Needed
2152,1322,At-Risk Outreach,2023-10-03,Advisor Smith,Follow-up Needed
2153,1324,Career Counseling,2023-12-08,Advisor Jones,In Progress
2154,1324,At-Risk Outreach,2023-11-22,Advisor Chen,Successful
2155,1326,Financial Aid Guidance,2023-11-16,Advisor Jones,In Progress
2156,1327,Academic Planning,2023-12-21,Advisor Jones,No Response
2157,1329,At-Risk Outreach,2023-11-11,Advisor Jones,No Response
2158,1332,Academic Planning,2023-12-20,Advisor Chen,No Response
2159,1333,Career Counseling,2023-11-19,Advisor Garcia,In Progress
2160,1334,Career Counseling,2023-10-06,Advisor Chen,No Response
2161,1334,Career Counseling,2023-11-08,Advisor Smith,Successful
2162,1338,Academic Planning,2023-11-03,Advisor Garcia,In Progress
2163,1340,Financial Aid Guidance,2023-12-04,Advisor Smith,Successful
2164,1340,Academic Planning,2023-10-07,Advisor Garcia,No Response
2165,1342,Financial Aid Guidance,2023-12-11,Advisor Smith,Successful
2166,1342,Academic Planning,2023-10-28,Advisor Garcia,No Response
2167,1345,Academic Planning,2023-12-10,Advisor Jones,Follow-up Needed
2168,1345,At-Risk Outreach,2023-10-22,Advisor Garcia,Successful
2169,1355,Career Counseling,2023-11-22,Advisor Garcia,Successful
2170,1355,Career Counseling,2023-12-01,Advisor Smith,No Response
2171,1362,Career Counseling,2023-10-06,Advisor Smith,Successful
2172,1363,Career Counseling,2023-11-21,Advisor Jones,Successful
2173,1363,Academic Planning,2023-11-22,Advisor Chen,Follow-up Needed
2174,1370,Career Counseling,2023-10-31,Advisor Garcia,No Response
2175,1373,Academic Planning,2023-10-28,Advisor Jones,Successful
2176,1373,Financial Aid Guidance,2023-12-13,Advisor Smith,Successful
2177,1375,Career Counseling,2023-12-21,Advisor Jones,Follow-up Needed
2178,1382,Financial Aid Guidance,2023-10-12,Advisor Chen,In Progress
2179,1382,At-Risk Outreach,2023-12-27,Advisor Jones,No Response
2180,1393,Academic Planning,2023-11-18,Advisor Garcia,Follow-up Needed
2181,1393,At-Risk Outreach,2023-12-22,Advisor Garcia,Successful
2182,1396,At-Risk Outreach,2023-11-18,Advisor Smith,Follow-up Needed
2183,1396,At-Risk Outreach,2023-12-12,Advisor Garcia,No Response
2184,1398,At-Risk Outreach,2023-11-06,Advisor Jones,Follow-up Needed
2185,1402,Academic Planning,2023-12-02,Advisor Smith,Successful
2186,1402,At-Risk Outreach,2023-10-09,Advisor Chen,No Response
2187,1403,Academic Planning,2023-11-26,Advisor Jones,No Response
2188,1407,Academic Planning,2023-10-07,Advisor Garcia,In Progress
2189,1408,At-Risk Outreach,2023-12-26,Advisor Garcia,In Progress
2190,1416,Financial Aid Guidance,2023-11-05,Advisor Jones,No Response
2191,1416,At-Risk Outreach,2023-11-13,Advisor Smith,In Progress
2192,1421,At-Risk Outreach,2023-11-06,Advisor Jones,Follow-up Needed
2193,1421,At-Risk Outreach,2023-10-12,Advisor Garcia,In Progress
2194,1422,Financial Aid Guidance,2023-10-19,Advisor Garcia,Follow-up Needed
2195,1422,Academic Planning,2023-12-29,Advisor Garcia,Follow-up Needed
2196,1423,Financial Aid Guidance,2023-11-01,Advisor Smith,Follow-up Needed
2197,1426,Career Counseling,2023-10-16,Advisor Chen,In Progress
2198,1426,Academic Planning,2023-11-17,Advisor Garcia,In Progress
2199,1435,Academic Planning,2023-12-22,Advisor Chen,In Progress
2200,1435,Career Counseling,2023-10-17,Advisor Jones,Successful
2201,1437,Financial Aid Guidance,2023-11-03,Advisor Smith,Successful
2202,1438,Financial Aid Guidance,2023-11-29,Advisor Garcia,Follow-up Needed
2203,1438,Academic Planning,2023-11-29,Advisor Garcia,In Progress
2204,1443,Financial Aid Guidance,2023-11-03,Advisor Smith,Follow-up Needed
2205,1443,Academic Planning,2023-11-29,Advisor Jones,Follow-up Needed
2206,1446,Academic Planning,2023-12-29,Advisor Chen,No Response
2207,1449,At-Risk Outreach,2023-10-24,Advisor Jones,No Response
2208,1449,Financial Aid Guidance,2023-11-13,Advisor Smith,Follow-up Needed
2209,1473,Financial Aid Guidance,2023-11-04,Advisor Smith,Follow-up Needed
2210,1473,Financial Aid Guidance,2023-11-12,Advisor Chen,In Progress
2211,1474,Career Counseling,2023-12-26,Advisor Jones,In Progress
2212,1475,Financial Aid Guidance,2023-10-02,Advisor Jones,No Response
2213,1478,Career Counseling,2023-10-08,Advisor Garcia,No Response
2214,1478,Financial Aid Guidance,2023-12-02,Advisor Smith,No Response
2215,1480,Financial Aid Guidance,2023-12-13,Advisor Garcia,Successful
2216,1483,Academic Planning,2023-10-15,Advisor Chen,In Progress
2217,1485,Academic Planning,2023-11-11,Advisor Jones,Successful
2218,1491,Academic Planning,2023-10-23,Advisor Chen,Successful
2219,1492,At-Risk Outreach,2023-11-26,Advisor Jones,No Response
2220,1492,Financial Aid Guidance,2023-12-10,Advisor Smith,No Response
2221,1493,Financial Aid Guidance,2023-11-19,Advisor Jones,Follow-up Needed
2222,1497,Career Counseling,2023-12-07,Advisor Jones,In Progress
2223,1511,Career Counseling,2023-12-17,Advisor Smith,Successful
2224,1511,Career Counseling,2023-12-02,Advisor Garcia,No Response
2225,1514,Academic Planning,2023-10-01,Advisor Jones,No Response
2226,1525,Academic Planning,2023-10-18,Advisor Chen,Follow-up Needed
2227,1525,Academic Planning,2023-11-05,Advisor Chen,Successful
2228,1529,Career Counseling,2023-11-28,Advisor Garcia,Follow-up Needed
2229,1532,At-Risk Outreach,2023-12-13,Advisor Garcia,In Progress
2230,1532,Career Counseling,2023-12-21,Advisor Garcia,In Progress
2231,1535,At-Risk Outreach,2023-12-19,Advisor Jones,In Progress
2232,1535,Financial Aid Guidance,2023-12-11,Advisor Jones,Follow-up Needed
2233,1536,Career Counseling,2023-12-23,Advisor Garcia,No Response
2234,1536,Career Counseling,2023-10-31,Advisor Chen,No Response
2235,1538,Financial Aid Guidance,2023-10-17,Advisor Garcia,In Progress
2236,1538,Career Counseling,2023-10-23,Advisor Chen,Follow-up Needed
2237,1539,At-Risk Outreach,2023-10-19,Advisor Garcia,Follow-up Needed
2238,1540,Financial Aid Guidance,2023-10-24,Advisor Jones,In Progress
2239,1541,Career Counseling,2023-11-03,Advisor Chen,Successful
2240,1549,Academic Planning,2023-11-27,Advisor Chen,No Response
2241,1551,At-Risk Outreach,2023-12-05,Advisor Smith,Follow-up Needed
2242,1552,Academic Planning,2023-12-06,Advisor Chen,Follow-up Needed
2243,1559,Career Counseling,2023-11-06,Advisor Chen,Follow-up Needed
2244,1559,Academic Planning,2023-12-15,Advisor Chen,In Progress
2245,1563,Financial Aid Guidance,2023-10-03,Advisor Chen,In Progress
2246,1563,Academic Planning,2023-11-15,Advisor Jones,Follow-up Needed
2247,1571,At-Risk Outreach,2023-10-10,Advisor Chen,Follow-up Needed
2248,1571,At-Risk Outreach,2023-10-07,Advisor Smith,In Progress
2249,1577,At-Risk Outreach,2023-12-22,Advisor Jones,No Response
2250,1577,Academic Planning,2023-10-25,Advisor Smith,Successful
2251,1581,At-Risk Outreach,2023-12-06,Advisor Chen,Follow-up Needed
2252,1587,Academic Planning,2023-11-18,Advisor Jones,Successful
2253,1587,Career Counseling,2023-11-26,Advisor Jones,Successful
2254,1590,Career Counseling,2023-10-21,Advisor Chen,Successful
2255,1591,Academic Planning,2023-12-03,Advisor Chen,In Progress
2256,1591,Financial Aid Guidance,2023-11-05,Advisor Smith,No Response
2257,1592,Academic Planning,2023-12-29,Advisor Smith,No Response
2258,1592,Career Counseling,2023-12-27,Advisor Jones,Follow-up Needed
2259,1595,Financial Aid Guidance,2023-10-02,Advisor Chen,No Response
2260,1598,Financial Aid Guidance,2023-10-21,Advisor Smith,No Response
2261,1598,Career Counseling,2023-11-01,Advisor Jones,In Progress
2262,1599,At-Risk Outreach,2023-10-17,Advisor Garcia,In Progress
2263,1603,At-Risk Outreach,2023-11-17,Advisor Jones,No Response
2264,1603,Financial Aid Guidance,2023-12-21,Advisor Chen,Successful
2265,1605,At-Risk Outreach,2023-11-13,Advisor Garcia,In Progress
2266,1609,Career Counseling,2023-11-22,Advisor Smith,Successful
2267,1609,Financial Aid Guidance,2023-10-28,Advisor Chen,No Response
2268,1610,Career Counseling,2023-10-02,Advisor Smith,In Progress
2269,1612,Academic Planning,2023-11-18,Advisor Smith,Follow-up Needed
2270,1612,Career Counseling,2023-11-06,Advisor Garcia,Follow-up Needed
2271,1624,Financial Aid Guidance,2023-12-18,Advisor Chen,In Progress
2272,1624,Financial Aid Guidance,2023-11-15,Advisor Smith,Follow-up Needed
2273,1626,Financial Aid Guidance,2023-11-06,Advisor Smith,Successful
2274,1629,Academic Planning,2023-12-01,Advisor Garcia,In Progress
2275,1629,Financial Aid Guidance,2023-10-14,Advisor Jones,Follow-up Needed
2276,1632,Career Counseling,2023-10-05,Advisor Chen,Follow-up Needed
2277,1634,Financial Aid Guidance,2023-11-22,Advisor Garcia,No Response
2278,1639,At-Risk Outreach,2023-11-09,Advisor Jones,In Progress
2279,1640,Career Counseling,2023-10-11,Advisor Smith,No Response
2280,1640,Financial Aid Guidance,2023-10-21,Advisor Smith,No Response
2281,1643,Career Counseling,2023-10-05,Advisor Smith,Follow-up Needed
2282,1643,Financial Aid Guidance,2023-12-28,Advisor Jones,In Progress
2283,1646,Academic Planning,2023-11-09,Advisor Smith,Successful
2284,1649,Career Counseling,2023-10-21,Advisor Chen,No Response
2285,1649,Financial Aid Guidance,2023-10-10,Advisor Jones,In Progress
2286,1650,Financial Aid Guidance,2023-10-04,Advisor Smith,In Progress
2287,1650,At-Risk Outreach,2023-11-20,Advisor Garcia,Successful
2288,1652,Career Counseling,2023-10-26,Advisor Smith,Follow-up Needed
2289,1664,At-Risk Outreach,2023-10-20,Advisor Jones,Follow-up Needed
2290,1666,Academic Planning,2023-12-09,Advisor Smith,In Progress
2291,1667,Academic Planning,2023-12-13,Advisor Smith,No Response
2292,1667,At-Risk Outreach,2023-10-19,Advisor Garcia,Successful
2293,1668,At-Risk Outreach,2023-12-23,Advisor Chen,Successful
2294,1668,Financial Aid Guidance,2023-12-03,Advisor Smith,Follow-up Needed
2295,1669,At-Risk Outreach,2023-12-13,Advisor Chen,No Response
2296,1669,Career Counseling,2023-10-23,Advisor Chen,Successful
2297,1673,Career Counseling,2023-12-05,Advisor Chen,Follow-up Needed
2298,1679,At-Risk Outreach,2023-10-13,Advisor Jones,In Progress
2299,1681,Career Counseling,2023-10-29,Advisor Garcia,No Response
2300,1683,Career Counseling,2023-10-16,Advisor Jones,No Response
2301,1683,Academic Planning,2023-10-23,Advisor Smith,Successful
2302,1684,Financial Aid Guidance,2023-11-02,Advisor Jones,In Progress
2303,1690,Career Counseling,2023-11-19,Advisor Chen,No Response
2304,1690,Academic Planning,2023-11-13,Advisor Smith,Follow-up Needed
2305,1693,Academic Planning,2023-11-14,Advisor Chen,Successful
2306,1693,Career Counseling,2023-12-21,Advisor Chen,No Response
2307,1695,Academic Planning,2023-11-12,Advisor Chen,Successful
2308,1695,At-Risk Outreach,2023-10-01,Advisor Smith,Follow-up Needed
2309,1699,At-Risk Outreach,2023-12-08,Advisor Smith,In Progress
2310,1702,Academic Planning,2023-12-05,Advisor Garcia,In Progress
2311,1708,Academic Planning,2023-10-11,Advisor Smith,Follow-up Needed
2312,1709,At-Risk Outreach,2023-12-16,Advisor Chen,No Response
2313,1710,Financial Aid Guidance,2023-10-14,Advisor Smith,No Response
2314,1710,At-Risk Outreach,2023-12-04,Advisor Smith,No Response
2315,1715,Academic Planning,2023-10-02,Advisor Jones,In Progress
2316,1715,Career Counseling,2023-12-25,Advisor Chen,Follow-up Needed
2317,1716,Financial Aid Guidance,2023-12-06,Advisor Garcia,Successful
2318,1718,Academic Planning,2023-10-04,Advisor Chen,In Progress
2319,1719,Academic Planning,2023-10-16,Advisor Garcia,No Response
2320,1719,Academic Planning,2023-12-12,Advisor Garcia,Successful
2321,1725,Career Counseling,2023-11-28,Advisor Jones,In Progress
2322,1725,Academic Planning,2023-12-12,Advisor Smith,In Progress
2323,1726,Academic Planning,2023-11-25,Advisor Jones,No Response
2324,1726,Academic Planning,2023-10-26,Advisor Garcia,Successful
2325,1728,At-Risk Outreach,2023-12-15,Advisor Smith,Successful
2326,1728,Career Counseling,2023-12-25,Advisor Jones,No Response
2327,1735,Academic Planning,2023-11-11,Advisor Smith,No Response
2328,1740,Academic Planning,2023-10-17,Advisor Garcia,In Progress
2329,1742,Career Counseling,2023-11-24,Advisor Chen,Successful
2330,1746,Academic Planning,2023-11-25,Advisor Chen,Follow-up Needed
2331,1749,Financial Aid Guidance,2023-11-16,Advisor Jones,No Response
2332,1749,Career Counseling,2023-11-07,Advisor Smith,Successful
2333,1757,At-Risk Outreach,2023-10-09,Advisor Chen,Successful
2334,1757,At-Risk Outreach,2023-11-05,Advisor Garcia,No Response
2335,1763,At-Risk Outreach,2023-10-28,Advisor Chen,Successful
2336,1763,At-Risk Outreach,2023-11-25,Advisor Chen,In Progress
2337,1767,Career Counseling,2023-11-08,Advisor Smith,No Response
2338,1767,Career Counseling,2023-12-14,Advisor Smith,No Response
2339,1769,Academic Planning,2023-11-10,Advisor Chen,No Response
2340,1775,Career Counseling,2023-10-19,Advisor Chen,Follow-up Needed
2341,1776,Career Counseling,2023-10-24,Advisor Chen,Follow-up Needed
2342,1781,Financial Aid Guidance,2023-12-19,Advisor Smith,Successful
2343,1781,Financial Aid Guidance,2023-10-04,Advisor Jones,Successful
2344,1782,At-Risk Outreach,2023-12-20,Advisor Chen,In Progress
2345,1782,Career Counseling,2023-10-26,Advisor Jones,Follow-up Needed
2346,1784,Financial Aid Guidance,2023-10-09,Advisor Chen,Follow-up Needed
2347,1788,Financial Aid Guidance,2023-10-31,Advisor Garcia,No Response
2348,1788,At-Risk Outreach,2023-10-01,Advisor Jones,No Response
2349,1795,Financial Aid Guidance,2023-11-28,Advisor Garcia,Successful
2350,1805,Academic Planning,2023-11-15,Advisor Smith,No Response
2351,1806,Career Counseling,2023-12-05,Advisor Jones,No Response
2352,1806,At-Risk Outreach,2023-12-08,Advisor Smith,No Response
2353,1808,Career Counseling,2023-10-01,Advisor Garcia,Successful
2354,1813,At-Risk Outreach,2023-11-01,Advisor Chen,Successful
2355,1813,Financial Aid Guidance,2023-10-11,Advisor Chen,In Progress
2356,1816,At-Risk Outreach,2023-11-07,Advisor Jones,Follow-up Needed
2357,1816,Academic Planning,2023-12-12,Advisor Garcia,No Response
2358,1817,Financial Aid Guidance,2023-12-11,Advisor Smith,Follow-up Needed
2359,1817,Academic Planning,2023-11-17,Advisor Jones,Follow-up Needed
2360,1819,Career Counseling,2023-12-14,Advisor Smith,In Progress
2361,1819,At-Risk Outreach,2023-12-15,Advisor Garcia,Follow-up Needed
2362,1820,Career Counseling,2023-10-05,Advisor Chen,In Progress
2363,1821,At-Risk Outreach,2023-10-03,Advisor Smith,In Progress
2364,1821,Academic Planning,2023-12-03,Advisor Chen,No Response
2365,1822,Financial Aid Guidance,2023-12-10,Advisor Chen,In Progress
2366,1822,Career Counseling,2023-10-02,Advisor Garcia,In Progress
2367,1823,Academic Planning,2023-10-07,Advisor Jones,Follow-up Needed
2368,1825,At-Risk Outreach,2023-11-22,Advisor Chen,No Response
2369,1829,Career Counseling,2023-12-07,Advisor Chen,Successful
2370,1829,Financial Aid Guidance,2023-10-11,Advisor Smith,Follow-up Needed
2371,1831,Financial Aid Guidance,2023-11-06,Advisor Chen,In Progress
2372,1831,Academic Planning,2023-11-21,Advisor Garcia,In Progress
2373,1835,At-Risk Outreach,2023-12-29,Advisor Chen,Successful
2374,1842,Financial Aid Guidance,2023-11-18,Advisor Chen,Follow-up Needed
2375,1842,Academic Planning,2023-10-13,Advisor Garcia,No Response
2376,1843,Academic Planning,2023-11-24,Advisor Chen,Successful
2377,1843,Financial Aid Guidance,2023-12-05,Advisor Jones,No Response
2378,1847,Academic Planning,2023-12-21,Advisor Jones,Successful
2379,1847,Career Counseling,2023-11-25,Advisor Jones,Successful
2380,1849,Academic Planning,2023-12-28,Advisor Jones,No Response
2381,1849,At-Risk Outreach,2023-11-07,Advisor Chen,No Response
2382,1852,Academic Planning,2023-12-15,Advisor Garcia,Successful
2383,1852,Academic Planning,2023-12-18,Advisor Jones,Follow-up Needed
2384,1853,Academic Planning,2023-11-04,Advisor Jones,No Response
2385,1853,Financial Aid Guidance,2023-10-30,Advisor Smith,No Response
2386,1856,At-Risk Outreach,2023-12-22,Advisor Smith,Follow-up Needed
2387,1856,Financial Aid Guidance,2023-12-11,Advisor Smith,Follow-up Needed
2388,1867,Career Counseling,2023-11-11,Advisor Chen,Follow-up Needed
2389,1867,Career Counseling,2023-12-26,Advisor Jones,Follow-up Needed
2390,1872,Career Counseling,2023-12-27,Advisor Chen,Successful
2391,1880,Financial Aid Guidance,2023-11-12,Advisor Chen,No Response
