student_id,age,gender,major,class_level,international_student,first_generation,admission_term,academic_standing,gpa_band,student_status,at_risk_score,risk_category,at_risk_flag,latest_placement_score,placement_language,total_test_attempts,retake_required,has_hold,unresolved_hold_flag,avg_days_to_resolve_hold,intervention_received_flag,intervention_type,enrolled_flag,completed_flag,placement_score_band,hold_resolution_category,enrollment_delay_flag
1017,34,Female,Biology,Senior,No,No,Fall 2023,Good Standing,Medium,Dropout,2,Medium Risk,1,65.0,Math,2,Yes,No,No,,Yes,Financial Aid Guidance,Yes,Yes,Medium,No Hold,No
1018,27,Male,Biology,Freshman,Yes,No,Spring 2024,Warning,Medium,Dropout,2,Medium Risk,1,91.0,Spanish,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1019,33,Female,Business Administration,Sophomore,No,No,Fall 2022,Good Standing,Medium,Graduate,1,Low Risk,0,91.0,Spanish,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1020,32,Male,Mechanical Engineering,Senior,Yes,No,Fall 2023,Good Standing,Medium,Graduate,1,Low Risk,0,89.0,Math,2,Yes,No,No,,Yes,Academic Planning,Yes,No,High,No Hold,No
1021,32,Female,Biology,Senior,No,No,Spring 2024,Good Standing,High,Enrolled,4,High Risk,1,52.0,Spanish,1,Yes,Yes,No,14.5,No,No Intervention,Yes,No,Low,Slow (>14 days),Yes
1022,29,Female,Biology,Junior,No,No,Spring 2024,Good Standing,High,Enrolled,2,Medium Risk,1,65.0,Math,1,No,No,No,,No,No Intervention,Yes,Yes,Medium,No Hold,No
1023,20,Male,Psychology,Freshman,No,Yes,Fall 2023,Good Standing,Medium,Graduate,2,Medium Risk,1,56.0,English,2,Yes,No,No,,Yes,At-Risk Outreach,Yes,No,Low,No Hold,No
1024,22,Non-binary,Nursing,Senior,No,No,Fall 2023,Good Standing,Medium,Graduate,3,Medium Risk,1,87.0,English,1,Yes,Yes,Yes,13.0,No,No Intervention,,,High,Moderate (8-14 days),Yes
1025,24,Female,Business Administration,Junior,Yes,Yes,Fall 2022,Warning,Medium,Graduate,2,Medium Risk,1,44.0,Math,1,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1026,26,Non-binary,Computer Science,Sophomore,No,Yes,Spring 2023,Good Standing,Medium,Dropout,2,Medium Risk,1,65.0,Math,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1027,24,Non-binary,Biology,Junior,No,No,Spring 2024,Good Standing,Low,Dropout,4,High Risk,1,98.0,Math,1,Yes,Yes,No,14.0,No,No Intervention,Yes,Yes,High,Moderate (8-14 days),No
1028,21,Male,Psychology,Junior,No,No,Fall 2023,Good Standing,High,Enrolled,2,Medium Risk,1,64.0,Spanish,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1029,31,Male,Mechanical Engineering,Senior,No,No,Fall 2023,Good Standing,Medium,Enrolled,1,Low Risk,0,73.0,Math,1,Yes,No,No,,Yes,Career Counseling,Yes,Yes,Medium,No Hold,No
1030,26,Male,Biology,Senior,No,No,Fall 2023,Good Standing,Medium,Graduate,3,Medium Risk,1,49.0,Spanish,1,Yes,Yes,Yes,23.0,Yes,Career Counseling,,,Low,Slow (>14 days),Yes
1031,19,Female,Architecture,Senior,No,No,Spring 2024,Good Standing,Medium,Dropout,3,Medium Risk,1,57.0,Math,2,Yes,No,No,,Yes,Academic Planning,Yes,Yes,Low,No Hold,No
1032,32,Male,Nursing,Junior,Yes,Yes,Fall 2022,Good Standing,Medium,Graduate,3,Medium Risk,1,52.0,Spanish,2,Yes,Yes,No,12.5,Yes,Financial Aid Guidance,Yes,Yes,Low,Moderate (8-14 days),No
1033,24,Male,Computer Science,Sophomore,No,No,Spring 2023,Good Standing,Low,Enrolled,5,High Risk,1,41.0,Math,1,Yes,Yes,No,14.0,No,No Intervention,Yes,No,Low,Moderate (8-14 days),No
1034,29,Female,Mechanical Engineering,Freshman,No,No,Spring 2024,Warning,Medium,Enrolled,3,Medium Risk,1,50.0,Math,1,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1035,25,Female,Mechanical Engineering,Junior,No,No,Fall 2022,Probation,High,Graduate,2,Medium Risk,1,81.0,Spanish,1,Yes,Yes,No,10.0,No,No Intervention,Yes,No,High,Moderate (8-14 days),No
1036,32,Male,Business Administration,Senior,No,Yes,Spring 2024,Good Standing,High,Graduate,3,Medium Risk,1,99.0,Spanish,1,No,Yes,Yes,11.0,No,No Intervention,,,High,Moderate (8-14 days),Yes
1037,20,Male,Biology,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate,1,Low Risk,0,60.0,English,1,Yes,Yes,No,26.5,Yes,Career Counseling,Yes,No,Low,Slow (>14 days),Yes
1038,31,Male,Business Administration,Sophomore,No,No,Fall 2023,Good Standing,Medium,Dropout,6,High Risk,1,41.0,English,2,Yes,Yes,Yes,3.0,No,No Intervention,,,Low,Quick (<=7 days),Yes
1039,34,Male,Computer Science,Freshman,No,No,Fall 2022,Good Standing,High,Dropout,1,Low Risk,0,89.0,English,1,No,No,No,,Yes,Financial Aid Guidance,Yes,No,High,No Hold,No
1040,21,Non-binary,Architecture,Senior,No,No,Fall 2023,Good Standing,High,Dropout,3,Medium Risk,1,48.0,Math,1,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1041,25,Non-binary,Biology,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled,3,Medium Risk,1,51.0,English,1,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1042,21,Male,Education,Junior,No,No,Fall 2022,Good Standing,Medium,Enrolled,3,Medium Risk,1,87.0,Math,1,No,Yes,Yes,,Yes,Academic Planning,,,High,No Hold,Yes
1043,19,Non-binary,Biology,Senior,No,No,Fall 2023,Good Standing,High,Graduate,2,Medium Risk,1,47.0,Spanish,1,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1044,23,Female,Architecture,Junior,No,No,Fall 2023,Probation,Medium,Enrolled,3,Medium Risk,1,97.0,English,1,No,Yes,No,16.5,No,No Intervention,Yes,No,High,Slow (>14 days),Yes
1045,27,Non-binary,Education,Senior,No,No,Spring 2023,Good Standing,Medium,Graduate,0,Low Risk,0,60.0,Spanish,1,No,No,No,,Yes,Career Counseling,Yes,No,Low,No Hold,No
1046,21,Non-binary,Mechanical Engineering,Junior,Yes,Yes,Fall 2022,Good Standing,Low,Dropout,3,Medium Risk,1,79.0,Math,1,Yes,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1047,29,Male,Business Administration,Junior,No,No,Fall 2022,Good Standing,High,Graduate,0,Low Risk,0,62.0,English,1,No,No,No,,Yes,Financial Aid Guidance,Yes,Yes,Medium,No Hold,No
1048,19,Non-binary,Nursing,Junior,No,No,Fall 2023,Probation,Medium,Enrolled,2,Medium Risk,1,67.0,Math,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1049,27,Non-binary,Biology,Sophomore,No,No,Fall 2023,Good Standing,Medium,Dropout,2,Medium Risk,1,80.0,Spanish,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1050,21,Non-binary,Nursing,Sophomore,No,Yes,Fall 2022,Good Standing,High,Graduate,0,Low Risk,0,73.0,Math,1,No,No,No,,Yes,Academic Planning,Yes,Yes,Medium,No Hold,No
1051,31,Non-binary,Biology,Senior,No,No,Fall 2022,Good Standing,Medium,Dropout,2,Medium Risk,1,61.0,English,1,Yes,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1052,33,Female,Mechanical Engineering,Sophomore,Yes,No,Spring 2024,Probation,High,Graduate,1,Low Risk,0,77.0,English,2,Yes,No,No,,Yes,Financial Aid Guidance,Yes,Yes,Medium,No Hold,No
1053,32,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate,2,Medium Risk,1,52.0,Math,2,Yes,No,No,,Yes,Academic Planning,Yes,No,Low,No Hold,No
1054,25,Male,Computer Science,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate,2,Medium Risk,1,55.0,English,1,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1055,31,Female,Computer Science,Freshman,No,No,Fall 2023,Probation,High,Graduate,0,Low Risk,0,86.0,Spanish,1,No,No,No,,Yes,Financial Aid Guidance,Yes,No,High,No Hold,No
1056,25,Non-binary,Computer Science,Sophomore,No,No,Spring 2023,Probation,High,Enrolled,4,High Risk,1,47.0,Math,2,Yes,Yes,No,23.0,Yes,At-Risk Outreach,Yes,No,Low,Slow (>14 days),Yes
1057,33,Female,Biology,Freshman,No,No,Spring 2023,Good Standing,Medium,Graduate,2,Medium Risk,1,50.0,Spanish,1,Yes,Yes,No,25.0,Yes,Academic Planning,Yes,No,Low,Slow (>14 days),Yes
1058,30,Non-binary,Biology,Freshman,No,Yes,Spring 2024,Good Standing,High,Dropout,2,Medium Risk,1,86.0,Math,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1059,32,Female,Nursing,Junior,No,No,Fall 2023,Good Standing,Medium,Enrolled,2,Medium Risk,1,94.0,Spanish,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1060,30,Male,Business Administration,Junior,No,Yes,Fall 2023,Good Standing,Medium,Dropout,3,Medium Risk,1,63.0,Spanish,2,Yes,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1061,26,Male,Architecture,Senior,No,Yes,Fall 2023,Good Standing,Low,Enrolled,5,High Risk,1,69.0,Spanish,2,Yes,Yes,No,12.5,No,No Intervention,Yes,Yes,Medium,Moderate (8-14 days),No
1062,32,Male,Biology,Freshman,No,No,Fall 2022,Good Standing,Medium,Dropout,2,Medium Risk,1,83.0,English,1,No,Yes,No,12.5,Yes,Career Counseling,Yes,Yes,High,Moderate (8-14 days),No
1063,30,Non-binary,Business Administration,Senior,Yes,No,Fall 2023,Good Standing,Medium,Graduate,1,Low Risk,0,88.0,Math,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1064,18,Non-binary,Nursing,Senior,No,No,Fall 2022,Good Standing,High,Graduate,2,Medium Risk,1,54.0,English,1,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1065,24,Female,Biology,Freshman,No,No,Spring 2024,Good Standing,High,Graduate,1,Low Risk,0,87.0,English,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1066,26,Female,Computer Science,Sophomore,No,Yes,Spring 2023,Good Standing,High,Dropout,2,Medium Risk,1,76.0,Math,1,No,No,No,,No,No Intervention,Yes,Yes,Medium,No Hold,No
1067,18,Male,Computer Science,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate,2,Medium Risk,1,43.0,Math,1,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1068,29,Non-binary,Mechanical Engineering,Junior,No,Yes,Fall 2023,Good Standing,Medium,Enrolled,2,Medium Risk,1,66.0,English,1,No,No,No,,No,No Intervention,Yes,Yes,Medium,No Hold,No
1069,25,Female,Education,Freshman,No,No,Fall 2023,Good Standing,Medium,Enrolled,3,Medium Risk,1,64.0,Math,1,No,Yes,No,16.0,No,No Intervention,Yes,No,Medium,Slow (>14 days),Yes
1070,28,Non-binary,Psychology,Sophomore,No,No,Spring 2024,Good Standing,Medium,Graduate,1,Low Risk,0,74.0,Spanish,1,No,Yes,No,14.0,No,No Intervention,Yes,No,Medium,Moderate (8-14 days),No
1071,34,Non-binary,Architecture,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate,0,Low Risk,0,77.0,English,1,No,Yes,No,3.0,Yes,Academic Planning,Yes,Yes,Medium,Quick (<=7 days),No
1072,25,Male,Education,Senior,No,No,Fall 2022,Good Standing,High,Enrolled,3,Medium Risk,1,53.0,Math,1,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1073,20,Male,Biology,Junior,No,No,Fall 2022,Good Standing,High,Graduate,2,Medium Risk,1,98.0,Math,1,Yes,Yes,No,20.5,No,No Intervention,Yes,Yes,High,Slow (>14 days),Yes
1074,20,Non-binary,Business Administration,Junior,No,No,Spring 2023,Good Standing,Low,Dropout,2,Medium Risk,1,80.0,Math,1,No,No,No,,Yes,Career Counseling,Yes,Yes,Medium,No Hold,No
1075,18,Non-binary,Biology,Junior,Yes,Yes,Spring 2023,Good Standing,Medium,Graduate,1,Low Risk,0,81.0,Spanish,1,No,Yes,No,21.0,Yes,Academic Planning,Yes,Yes,High,Slow (>14 days),Yes
1076,22,Non-binary,Business Administration,Senior,No,Yes,Fall 2023,Good Standing,Medium,Graduate,2,Medium Risk,1,75.0,Math,1,Yes,Yes,No,20.5,No,No Intervention,Yes,Yes,Medium,Slow (>14 days),Yes
1077,27,Non-binary,Business Administration,Junior,No,No,Spring 2024,Probation,Medium,Graduate,0,Low Risk,0,62.0,Math,1,No,No,No,,Yes,Career Counseling,Yes,Yes,Medium,No Hold,No
1078,24,Male,Education,Freshman,No,No,Spring 2024,Good Standing,Medium,Graduate,1,Low Risk,0,99.0,English,1,No,No,No,,No,No Intervention,Yes,Yes,High,No Hold,No
1079,26,Female,Psychology,Senior,Yes,Yes,Fall 2023,Good Standing,High,Dropout,3,Medium Risk,1,74.0,Math,1,No,Yes,Yes,4.0,Yes,Career Counseling,Yes,No,Medium,Quick (<=7 days),Yes
1080,24,Male,Mechanical Engineering,Sophomore,No,Yes,Fall 2022,Good Standing,Low,Enrolled,3,Medium Risk,1,63.0,Spanish,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1081,26,Female,Education,Senior,No,No,Spring 2023,Good Standing,Medium,Enrolled,2,Medium Risk,1,62.0,Math,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1082,25,Non-binary,Psychology,Freshman,No,No,Spring 2024,Good Standing,High,Graduate,3,Medium Risk,1,85.0,English,1,No,Yes,Yes,,No,No Intervention,Yes,Yes,High,No Hold,Yes
1083,29,Female,Computer Science,Freshman,No,Yes,Fall 2023,Good Standing,Low,Dropout,4,High Risk,1,84.0,English,1,Yes,Yes,No,15.5,No,No Intervention,Yes,No,High,Slow (>14 days),Yes
1084,19,Male,Computer Science,Junior,No,Yes,Fall 2022,Good Standing,Medium,Graduate,1,Low Risk,0,73.0,Math,1,No,No,No,,No,No Intervention,Yes,Yes,Medium,No Hold,No
1085,18,Male,Business Administration,Senior,No,No,Fall 2022,Good Standing,Medium,Graduate,2,Medium Risk,1,92.0,English,1,No,Yes,No,14.0,No,No Intervention,Yes,Yes,High,Moderate (8-14 days),No
1086,33,Non-binary,Nursing,Senior,No,No,Spring 2023,Good Standing,High,Enrolled,2,Medium Risk,1,69.0,Spanish,1,No,Yes,No,5.0,No,No Intervention,Yes,Yes,Medium,Quick (<=7 days),No
1087,22,Male,Biology,Senior,No,Yes,Spring 2023,Good Standing,High,Dropout,3,Medium Risk,1,76.0,Spanish,2,Yes,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1088,20,Non-binary,Biology,Sophomore,No,Yes,Fall 2023,Good Standing,High,Enrolled,2,Medium Risk,1,99.0,English,1,No,No,No,,No,No Intervention,Yes,Yes,High,No Hold,No
1089,29,Male,Business Administration,Junior,No,No,Fall 2023,Good Standing,High,Graduate,0,Low Risk,0,66.0,Spanish,1,No,No,No,,Yes,Academic Planning,Yes,Yes,Medium,No Hold,No
1090,25,Male,Nursing,Freshman,Yes,No,Fall 2022,Good Standing,Medium,Dropout,4,High Risk,1,81.0,Math,1,No,Yes,Yes,9.0,No,No Intervention,Yes,Yes,High,Moderate (8-14 days),Yes
1091,20,Non-binary,Architecture,Freshman,No,No,Fall 2022,Good Standing,Medium,Enrolled,3,Medium Risk,1,57.0,English,1,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1092,18,Female,Psychology,Junior,No,No,Spring 2024,Good Standing,Medium,Enrolled,1,Low Risk,0,86.0,Spanish,1,Yes,Yes,No,3.0,Yes,At-Risk Outreach,Yes,Yes,High,Quick (<=7 days),No
1093,20,Male,Architecture,Freshman,Yes,Yes,Fall 2022,Good Standing,Low,Enrolled,3,Medium Risk,1,93.0,English,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1094,22,Female,Architecture,Freshman,No,No,Fall 2023,Good Standing,High,Enrolled,2,Medium Risk,1,56.0,English,1,Yes,No,No,,Yes,Financial Aid Guidance,Yes,No,Low,No Hold,No
1095,32,Male,Computer Science,Junior,No,No,Spring 2023,Good Standing,Low,Dropout,3,Medium Risk,1,70.0,Spanish,1,Yes,No,No,,No,No Intervention,Yes,Yes,Medium,No Hold,No
1096,31,Male,Architecture,Freshman,No,Yes,Fall 2023,Good Standing,Low,Dropout,6,High Risk,1,48.0,English,2,Yes,Yes,Yes,,Yes,Career Counseling,Yes,Yes,Low,No Hold,Yes
1097,20,Male,Biology,Senior,Yes,No,Spring 2024,Good Standing,Medium,Dropout,2,Medium Risk,1,55.0,Math,1,Yes,No,No,,Yes,Financial Aid Guidance,Yes,Yes,Low,No Hold,No
1098,18,Male,Education,Sophomore,No,No,Spring 2024,Good Standing,High,Graduate,0,Low Risk,0,97.0,Spanish,1,No,No,No,,Yes,Career Counseling,Yes,No,High,No Hold,No
1099,22,Female,Nursing,Junior,Yes,Yes,Spring 2023,Probation,Medium,Dropout,3,Medium Risk,1,44.0,Spanish,2,Yes,No,No,,Yes,Academic Planning,Yes,No,Low,No Hold,No
1100,31,Female,Psychology,Sophomore,Yes,Yes,Fall 2023,Good Standing,Medium,Graduate,2,Medium Risk,1,40.0,Math,1,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1101,24,Male,Computer Science,Freshman,No,Yes,Spring 2024,Good Standing,Medium,Graduate,1,Low Risk,0,48.0,English,1,Yes,No,No,,Yes,Academic Planning,Yes,Yes,Low,No Hold,No
1102,26,Male,Architecture,Freshman,No,Yes,Fall 2023,Probation,High,Graduate,3,Medium Risk,1,44.0,Spanish,2,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1103,32,Female,Education,Senior,No,No,Spring 2024,Good Standing,Medium,Graduate,1,Low Risk,0,91.0,Math,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1104,32,Non-binary,Nursing,Junior,Yes,No,Spring 2023,Probation,Medium,Graduate,3,Medium Risk,1,68.0,Spanish,2,Yes,Yes,Yes,1.0,Yes,Career Counseling,Yes,Yes,Medium,Quick (<=7 days),Yes
1105,27,Non-binary,Business Administration,Freshman,No,No,Spring 2024,Good Standing,High,Graduate,2,Medium Risk,1,77.0,English,2,Yes,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1106,30,Female,Business Administration,Junior,Yes,Yes,Fall 2023,Good Standing,Medium,Graduate,2,Medium Risk,1,49.0,English,1,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1107,24,Male,Business Administration,Junior,No,No,Fall 2023,Good Standing,High,Graduate,2,Medium Risk,1,59.0,Spanish,1,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1108,34,Male,Biology,Junior,No,No,Spring 2024,Warning,Medium,Enrolled,2,Medium Risk,1,63.0,Spanish,2,Yes,No,No,,Yes,Academic Planning,Yes,Yes,Medium,No Hold,No
1109,21,Non-binary,Psychology,Junior,No,No,Fall 2022,Probation,Low,Enrolled,5,High Risk,1,45.0,Spanish,2,Yes,No,No,,No,No Intervention,Yes,No,Low,No Hold,No
1110,22,Non-binary,Business Administration,Junior,Yes,Yes,Spring 2023,Good Standing,High,Graduate,2,Medium Risk,1,52.0,Math,1,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1111,24,Female,Biology,Sophomore,No,Yes,Spring 2023,Good Standing,Medium,Dropout,2,Medium Risk,1,81.0,Math,1,Yes,Yes,No,9.5,No,No Intervention,Yes,No,High,Moderate (8-14 days),No
1112,30,Non-binary,Mechanical Engineering,Senior,No,Yes,Spring 2024,Good Standing,High,Graduate,1,Low Risk,0,77.0,English,1,No,No,No,,No,No Intervention,Yes,Yes,Medium,No Hold,No
1113,32,Female,Biology,Junior,No,No,Spring 2024,Good Standing,Medium,Graduate,1,Low Risk,0,64.0,Spanish,1,No,No,No,,No,No Intervention,Yes,No,Medium,No Hold,No
1114,28,Non-binary,Computer Science,Sophomore,Yes,No,Fall 2022,Probation,Low,Dropout,2,Medium Risk,1,99.0,Math,1,No,No,No,,Yes,Financial Aid Guidance,Yes,Yes,High,No Hold,No
1115,21,Non-binary,Biology,Freshman,No,No,Spring 2023,Good Standing,Medium,Graduate,3,Medium Risk,1,57.0,Math,2,Yes,No,No,,No,No Intervention,Yes,Yes,Low,No Hold,No
1116,30,Non-binary,Psychology,Junior,No,No,Fall 2022,Good Standing,Low,Enrolled,2,Medium Risk,1,76.0,English,1,No,Yes,No,9.0,Yes,Academic Planning,Yes,Yes,Medium,Moderate (8-14 days),No
1117,24,Male,Education,Freshman,No,Yes,Spring 2023,Warning,Medium,Enrolled,1,Low Risk,0,74.0,Math,1,No,No,No,,Yes,Financial Aid Guidance,Yes,Yes,Medium,No Hold,No
1118,19,Male,Architecture,Junior,No,No,Spring 2024,Probation,Medium,Graduate,2,Medium Risk,1,91.0,English,1,No,Yes,No,19.0,No,No Intervention,Yes,Yes,High,Slow (>14 days),Yes
1119,27,Male,Biology,Sophomore,No,No,Spring 2023,Good Standing,Low,Enrolled,2,Medium Risk,1,63.0,English,1,Yes,No,No,,Yes,Career Counseling,Yes,No,Medium,No Hold,No
1120,30,Non-binary,Business Administration,Sophomore,No,Yes,Spring 2023,Good Standing,High,Enrolled,1,Low Risk,0,78.0,Math,1,No,No,No,,Yes,Career Counseling,Yes,Yes,Medium,No Hold,No
1121,23,Female,Computer Science,Sophomore,No,Yes,Spring 2023,Warning,High,Graduate,2,Medium Risk,1,91.0,Spanish,1,No,Yes,No,20.0,No,No Intervention,Yes,Yes,High,Slow (>14 days),Yes
1122,29,Female,Nursing,Senior,Yes,No,Fall 2022,Good Standing,Medium,Dropout,3,Medium Risk,1,72.0,Spanish,1,No,Yes,No,19.0,No,No Intervention,Yes,No,Medium,Slow (>14 days),Yes
1123,29,Female,Business Administration,Freshman,No,Yes,Fall 2022,Good Standing,Medium,Enrolled,2,Medium Risk,1,54.0,English,1,Yes,Yes,No,8.5,Yes,At-Risk Outreach,Yes,Yes,Low,Moderate (8-14 days),No
1124,28,Female,Computer Science,Senior,No,Yes,Spring 2023,Good Standing,Medium,Dropout,2,Medium Risk,1,87.0,Math,1,Yes,No,No,,No,No Intervention,Yes,Yes,High,No Hold,No
1125,24,Male,Mechanical Engineering,Junior,No,No,Fall 2023,Probation,High,Graduate,1,Low Risk,0,60.0,English,1,Yes,Yes,No,1.0,No,No Intervention,Yes,No,Low,Quick (<=7 days),No
1126,18,Male,Architecture,Freshman,No,No,Fall 2022,Good Standing,Low,Dropout,3,Medium Risk,1,93.0,Math,1,No,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1127,18,Non-binary,Nursing,Sophomore,No,Yes,Spring 2024,Good Standing,Medium,Enrolled,2,Medium Risk,1,84.0,Spanish,1,Yes,No,No,,No,No Intervention,Yes,No,High,No Hold,No
1128,30,Non-binary,Mechanical Engineering,Freshman,No,No,Spring 2024,Good Standing,Low,Dropout,6,High Risk,1,45.0,English,2,Yes,Yes,No,15.0,No,No Intervention,Yes,Yes,Low,Slow (>14 days),Yes
1129,26,Female,Education,Sophomore,No,No,Spring 2023,Probation,Medium,Dropout,2,Medium Risk,1,69.0,Spanish,1,No,Yes,No,13.0,No,No Intervention,Yes,No,Medium,Moderate (8-14 days),No
1130,20,Male,Computer Science,Senior,No,No,Spring 2024,Good Standing,Medium,Graduate,2,Medium Risk,1,83.0,Spanish,1,No,Yes,No,9.5,No,No Intervention,Yes,Yes,High,Moderate (8-14 days),No
